"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"0100002","152401","3002","10","12","83.333333333","14","71.428571428"
"0100002","152401","3003","2","12","16.666666666","10","20"
"0100003","152401","1003","1","47","2.127659574","135","0.74074074"
"0100003","152401","1004","12","47","25.531914893","12","100"
"0100003","152401","1028","3","47","6.382978723","128","2.34375"
"0100003","152401","1029","18","47","38.29787234","20","90"
"0100003","152401","1030","12","47","25.531914893","23","52.173913043"
"0100003","152401","1031","1","47","2.127659574","9","11.111111111"
"0100006","152501","3008","3","3","100","9","33.333333333"
"0100007","152501","1011","3","32","9.375","253","1.18577075"
"0100007","152501","1016","29","32","90.625","33","87.878787878"
"0100013","151403","2037","1","1","100","6","16.666666666"
"0100018","152501","2001","1","60","1.666666666","404","0.247524752"
"0100018","152501","2002","34","60","56.666666666","34","100"
"0100018","152501","2003","1","60","1.666666666","5","20"
"0100018","152501","3000","2","60","3.333333333","196","1.020408163"
"0100018","152501","3003","11","60","18.333333333","47","23.404255319"
"0100018","152501","3004","6","60","10","8","75"
"0100018","152502","2015","1","60","1.666666666","21","4.761904761"
"0100018","152502","2016","2","60","3.333333333","4","50"
"0100018","152502","2017","2","60","3.333333333","2","100"
"0100019","152502","2013","2","2","100","3","66.666666666"
"0100021","152501","3000","3","26","11.538461538","196","1.530612244"
"0100021","152501","3002","23","26","88.461538461","29","79.310344827"
"0100022","152502","1004","2","3","66.666666666","141","1.418439716"
"0100022","152502","1005","1","3","33.333333333","1","100"
"0100030","152501","1002","5","6","83.333333333","59","8.474576271"
"0100030","152501","1004","1","6","16.666666666","4","25"
"0100031","151702","4003","5","5","100","5","100"
"0100032","151702","4001","10","10","100","14","71.428571428"
"0100068","150501","2004","1","1","100","1","100"
"0100073","152401","3005","10","10","100","12","83.333333333"
"0100085","150303","2000","19","93","20.430107526","210","9.047619047"
"0100085","150303","2001","3","93","3.225806451","7","42.857142857"
"0100085","150303","2009","19","93","20.430107526","33","57.575757575"
"0100085","150303","2011","1","93","1.075268817","24","4.166666666"
"0100085","150303","2013","6","93","6.451612903","13","46.153846153"
"0100085","150303","2018","3","93","3.225806451","3","100"
"0100085","150303","2020","13","93","13.978494623","13","100"
