"county","srprec","city","n_in_city","n"
"49","0710004","SANTA ROSA","621","621"
"49","0100002","SANTA ROSA","12","12"
"49","0100003","SANTA ROSA","47","47"
"49","0710008","SANTA ROSA","44","44"
"49","0100006","SANTA ROSA","3","3"
"49","0100007","SANTA ROSA","32","32"
"49","0710017","SANTA ROSA","38","38"
"49","0710019","SANTA ROSA","23","23"
"49","0100013","SANTA ROSA","1","1"
"49","0710001","CALISTOGA","143","196"
"49","0710002","SANTA ROSA","265","302"
"49","0100018","SANTA ROSA","60","60"
"49","0100019","SANTA ROSA","2","2"
"49","0710009","SANTA ROSA","59","59"
"49","0100021","SANTA ROSA","26","26"
"49","0100022","SANTA ROSA","3","3"
"49","0710005","SANTA ROSA","312","312"
"49","0710006","SANTA ROSA","178","178"
"49","0100030","SANTA ROSA","6","6"
"49","0100031","SANTA ROSA","5","5"
"49","0100032","SANTA ROSA","10","10"
"49","0710020","SANTA ROSA","451","451"
"49","0710013","SANTA ROSA","124","124"
"49","0710018","SANTA ROSA","65","65"
"49","0710007","SANTA ROSA","22","28"
"49","0710010","KENWOOD","31","31"
"49","0710012","KENWOOD","826","1483"
"49","0710021","GLEN ELLEN","395","407"
"49","0710034","GLEN ELLEN","642","642"
"49","0710041","GLEN ELLEN","466","466"
"49","0710035","GLEN ELLEN","93","93"
"49","0710022","GLEN ELLEN","184","243"
"49","0710015","GLEN ELLEN","37","37"
"49","0100068","GLEN ELLEN","1","1"
"49","0710024","SANTA ROSA","157","163"
"49","0100073","SANTA ROSA","10","10"
"49","0710031","SANTA ROSA","75","75"
"49","0710042","SONOMA","652","652"
"49","0710036","SONOMA","202","202"
"49","0100085","SONOMA","70","93"
"49","0710023","SONOMA","404","419"
"49","0710025","SONOMA","167","167"
"49","0710043","SONOMA","2043","2043"
"49","0710044","SONOMA","2180","2249"
"49","0710037","SONOMA","241","241"
"49","0710026","SONOMA","440","440"
"49","0710045","SONOMA","915","916"
"49","0710003","SANTA ROSA","484","484"
"49","0710046","SONOMA","1239","1239"
"49","0710047","SONOMA","1956","1956"
"49","0100121","SANTA ROSA","45","45"
"49","0710038","SONOMA","1443","1443"
"49","0710027","SONOMA","89","89"
"49","0710050","SONOMA","1035","1035"
"49","0710028","SONOMA","855","855"
"49","0710055","PETALUMA","7","14"
"49","0710051","SONOMA","111","111"
"49","0710048","SONOMA","23","23"
"49","0710052","SONOMA","1","1"
"49","0710053","SONOMA","9","9"
"49","0710011","SANTA ROSA","65","65"
"49","0100164","SANTA ROSA","14","14"
"49","0100166","GLEN ELLEN","3","3"
"49","0710032","PENNGROVE","574","593"
"49","0100172","SANTA ROSA","11","11"
"49","0100173","SANTA ROSA","21","21"
"49","0710014","KENWOOD","157","158"
"49","0100177","SANTA ROSA","17","17"
"49","0100180","GLEN ELLEN","6","6"
"49","0710040","SONOMA","26","26"
"49","0100191","SONOMA","7","7"
"49","0710029","SONOMA","3","3"
"49","0710049","SONOMA","151","151"
"49","0710054","SONOMA","13","13"
"49","0100206","SANTA ROSA","61","61"
"49","0100211","GLEN ELLEN","7","7"
"49","0710039","GLEN ELLEN","20","25"
"49","0100215","SANTA ROSA","59","59"
"49","0100217","SANTA ROSA","60","60"
"49","0710030","GLEN ELLEN","10","10"
"49","0100224","SONOMA","10","10"
"49","0710016","SANTA ROSA","453","453"
