mprec,srprec
"0100001","0710004"
"0100002","0100002"
"0100003","0100003"
"0100004","0710008"
"0100005","0710004"
"0100006","0100006"
"0100007","0100007"
"0100008","0710001"
"0100009","0710001"
"0100010","0710017"
"0100011","0710019"
"0100012","0710017"
"0100013","0100013"
"0100014","0710001"
"0100016","0710002"
"0100017","0710002"
"0100018","0100018"
"0100019","0100019"
"0100020","0710009"
"0100021","0100021"
"0100022","0100022"
"0100023","0710005"
"0100024","0710005"
"0100025","0710005"
"0100026","0710006"
"0100027","0710006"
"0100028","0710006"
"0100029","0710006"
"0100030","0100030"
"0100031","0100031"
"0100032","0100032"
"0100033","0710020"
"0100034","0710031"
"0100035","0710032"
"0100036","0710012"
"0100037","0710012"
"0100038","0710020"
"0100039","0710020"
"0100040","0710013"
"0100041","0710018"
"0100042","0710018"
"0100043","0710007"
"0100044","0710010"
"0100045","0710014"
"0100046","0710007"
"0100047","0710007"
"0100048","0710014"
"0100049","0710007"
"0100050","0710010"
"0100051","0710012"
"0100052","0710021"
"0100053","0710002"
"0100054","0710034"
"0100055","0710034"
"0100056","0710041"
"0100057","0710041"
"0100058","0710034"
"0100059","0710034"
"0100060","0710034"
"0100061","0710035"
"0100062","0710022"
"0100063","0710023"
"0100064","0710021"
"0100065","0710021"
"0100066","0710012"
"0100067","0710015"
"0100068","0100068"
"0100069","0710021"
"0100070","0710012"
"0100071","0710024"
"0100072","0710024"
"0100073","0100073"
"0100074","0710021"
"0100075","0710015"
"0100076","0710024"
"0100077","0710033"
"0100078","0100078"
"0100079","0710024"
"0100080","0710041"
"0100081","0710031"
"0100082","0710031"
"0100083","0710042"
"0100084","0710036"
"0100085","0100085"
"0100086","0710023"
"0100087","0710023"
"0100088","0710023"
"0100089","0710036"
"0100090","0710036"
"0100091","0710025"
"0100092","0710002"
"0100093","0710043"
"0100094","0710001"
"0100095","0710044"
"0100096","0710037"
"0100097","0710044"
"0100098","0710025"
"0100099","0710037"
"0100100","0710044"
"0100101","0710044"
"0100102","0710025"
"0100103","0710025"
"0100104","0710026"
"0100105","0710001"
"0100106","0710001"
"0100107","0100107"
"0100108","0710045"
"0100109","0710043"
"0100110","0710043"
"0100111","0710003"
"0100112","0710046"
"0100113","0710046"
"0100114","0710047"
"0100115","0710046"
"0100116","0710046"
"0100117","0710003"
"0100118","0710046"
"0100120","0710008"
"0100121","0100121"
"0100122","0710038"
"0100123","0710038"
"0100124","0710026"
"0100125","0710026"
"0100126","0710027"
"0100127","0710027"
"0100128","0710050"
"0100129","0710028"
"0100130","0710050"
"0100131","0710026"
"0100132","0710055"
"0100133","0710055"
"0100134","0100134"
"0100135","0710055"
"0100136","0710026"
"0100137","0710026"
"0100138","0710055"
"0100139","0710028"
"0100140","0710028"
"0100141","0710028"
"0100142","0710051"
"0100143","0710050"
"0100144","0710051"
"0100145","0710045"
"0100146","0710048"
"0100147","0710048"
"0100148","0710046"
"0100149","0710052"
"0100150","0710051"
"0100151","0710053"
"0100152","0710052"
"0100153","0710051"
"0100154","0710053"
"0100155","0710053"
"0100156","0710004"
"0100157","0710004"
"0100158","0710003"
"0100159","0710011"
"0100160","0710053"
"0100161","0710051"
"0100162","0710011"
"0100163","0710007"
"0100164","0100164"
"0100165","0710020"
"0100166","0100166"
