"block","mprec","pct_block"
"060971530066000","0510015",0.984756
"060971530066004","0510015",1
"060971530066002","0510015",1
"060971530066005","0510015",1
"060971530065004","0510015",1
"060971530066011","0510015",1
"060971530053024","0510015",1
"060971530066008","0510015",1
"060971530066001","0510015",1
"060971530064002","0510015",0.065575
"060971530065005","0510015",1
"060971530065011","0510015",1
"060971530064011","0510015",0.096652
"060971530064019","0510015",0.000001
"060971530066007","0510015",1
"060971530066012","0510015",1
"060971530053021","0510015",0.000012
"060971530066003","0510015",1
"060971530065009","0510015",1
"060971530065003","0510015",1
"060971530066010","0510015",1
"060971530065002","0510015",1
"060971530063008","0510015",0.000005
"060971530066006","0510015",1
"060971530065010","0510015",1
"060971530066009","0510015",1
"060971530065008","0510015",1
"060971530066013","0510015",1
"060971530063006","0510015",0.000011
"060971530064018","0510014",0.502932
"060971530065011","0510014",0.000002
"060971530064019","0510014",1
"060971530065000","0510014",1
"060971530065001","0510014",1
"060971530013007","0510014",0.000004
"060971530065003","0510014",0.000001
"060971530065006","0510014",1
"060971530065007","0510014",1
"060971530065007","0510017",0.000001
"060971530063007","0510017",0.000001
"060971530063003","0510017",1
"060971530063009","0510017",1
"060971530053019","0510017",0.000001
"060971530063005","0510017",1
"060971530021006","0510017",0.000004
"060971530063002","0510017",1
"060971530062002","0510017",0.000002
"060971530022003","0510017",0.000001
"060971530062000","0510017",0.194602
"060971530063000","0510017",1
"060971530063001","0510017",1
"060971530063004","0510017",1
"060971530063008","0510016",1
"060971530063007","0510016",1
"060971530063003","0510016",0.000001
"060971530063009","0510016",0.000001
"060971530063005","0510016",0.000002
"060971530063006","0510016",1
"060971530063004","0510016",0.000001
"060971530056001","0510019",0.636950
"060971530056002","0510019",0.000001
"060971530056000","0510019",0.377022
"060971530056001","0510019",0.238357
"060971530054012","0510018",0.000001
"060971530054008","0510018",0.000002
"060971530055007","0510018",1
"060971530055003","0510018",0.248238
"060971530054009","0510018",0.000001
"060971530055009","0510018",0.170633
"060971530054010","0510018",0.000001
"060971530055006","0510018",0.754855
"060971530055008","0510018",1
"060971513102000","0230010",0.000012
"060971513011000","0230010",0.000002
"060971513102004","0230010",1
"060971513102006","0230010",0.000004
"060971513011010","0230010",1
"060971513102005","0230010",1
"060971513011009","0230010",1
"060971513111013","0230010",1
"060971513011011","0230010",0.000012
"060971512031001","0230010",0.000004
"060971512031000","0230010",1
"060971512031002","0230010",0.000066
"060971513111000","0230010",0.000006
"060971530066000","0510011",0.015234
"060971530053024","0510011",0.000004
"060971529031006","0510011",0.000005
"060971530064006","0510011",1
"060971530064009","0510011",1
"060971530064005","0510011",1
"060971530064004","0510011",1
"060971529042002","0510011",0.000012
"060971529042001","0510011",0.000005
"060971530064000","0510011",1
"060971530064016","0510011",1
"060971530053027","0510011",0.000002
"060971530064010","0510011",1
"060971530064008","0510011",0.000015
"060971530064007","0510011",1
"060971530064018","0510011",0.497067
"060971530064017","0510011",1
"060971530064001","0510011",1
"060971530064003","0510011",1
"060971530064013","0510011",1
"060971530064002","0510011",0.934425
"060971530053023","0510011",1
"060971530064014","0510011",1
"060971530064012","0510011",1
"060971530064011","0510011",0.903348
"060971530064015","0510011",0.000005
"060971543041164","0500302",0.028767
"060971537091004","0500302",0.033576
"060971536023011","0500301",0.998123
"060971536023012","0500301",0.000001
"060971529051010","0510010",1
"060971529051008","0510010",1
"060971529051009","0510010",1
"060971529051007","0510010",1
"060971529051001","0510010",1
"060971528014016","0510010",0.000007
"060971529051000","0510010",1
"060971529053010","0510010",1
"060971529053006","0510010",0.000001
"060971529051004","0510010",1
"060971529051006","0510010",1
"060971529053009","0510010",1
"060971529051005","0510010",1
"060971529051003","0510010",1
"060971529051002","0510010",1
"060971529041000","0510010",0.000019
"060971512063037","0230012",0.000020
"060971512042002","0230012",1
"060971512042000","0230012",1
"060971512042001","0230012",1
"060971512042008","0230012",1
"060971512042009","0230012",1
"060971512042003","0230012",1
"060971513013002","0230012",0.000003
"060971512042005","0230012",1
"060971512042013","0230012",1
"060971512043002","0230012",0.679230
"060971512042004","0230012",0.491733
"060971512042006","0230012",1
"060971512043000","0230012",1
"060971512043005","0230012",0.422350
"060971512043009","0230012",0.000009
"060971512043001","0230012",1
"060971512041004","0230012",0.000001
"060971537082011","0500304",0.002614
"060971529062006","0510013",1
"060971529062004","0510013",1
"060971529062014","0510013",1
"060971528013010","0510013",0.000052
"060971529063010","0510013",0.000001
"060971529062012","0510013",1
"060971529062017","0510013",1
"060971529062011","0510013",1
"060971529062000","0510013",0.999684
"060971529062001","0510013",1
"060971529062005","0510013",1
"060971529062018","0510013",1
"060971529062009","0510013",1
"060971529062016","0510013",1
"060971529062024","0510013",1
"060971529062025","0510013",1
"060971529062003","0510013",1
"060971529062007","0510013",1
"060971529062023","0510013",1
"060971529062027","0510013",1
"060971529062022","0510013",1
"060971529062028","0510013",1
"060971529062002","0510013",1
"060971529062015","0510013",1
"060971529062020","0510013",1
"060971529062021","0510013",1
"060971529062013","0510013",1
"060971529062010","0510013",1
"060971529062026","0510013",1
"060971529062029","0510013",1
"060971529052004","0510013",0.000002
"060971529053001","0510013",0.000001
"060971529062019","0510013",1
"060971529062008","0510013",1
"060971529052005","0510013",0.000013
"060971529062000","0510013",0.000278
"060971512033003","0230011",0.000001
"060971512034013","0230011",1
"060971512034016","0230011",0.812085
"060971512034012","0230011",0.674829
"060971512034015","0230011",1
"060971512043013","0230011",0.000001
"060971512034014","0230011",1
"060971512033004","0230011",1
"060971512033005","0230011",1
"060971512033006","0230011",1
"060971512033008","0230011",1
"060971512033007","0230011",1
"060971512034017","0230011",1
"060971512041000","0230011",0.000004
"060971512032005","0230011",0.000001
"060971512032004","0230011",0.000001
"060971512042007","0230014",0.000018
"060971512042004","0230014",0.283453
"060971512034005","0230014",0.000014
"060971512042011","0230014",1
"060971512043007","0230014",0.112700
"060971512042010","0230014",0.555506
"060971512043011","0230014",1
"060971512043008","0230014",0.011018
"060971512042012","0230014",1
"060971512043000","0230014",0.000001
"060971512043012","0230014",1
"060971512034016","0230014",0.187916
"060971512034012","0230014",0.325162
"060971512043010","0230014",1
"060971512043013","0230014",1
"060971512043009","0230014",0.019938
"060971512034017","0230014",0.000189
"060971512041000","0230014",1
"060971512041001","0230014",1
"060971512041014","0230014",0.000001
"060971512041002","0230014",1
"060971512041003","0230014",0.000002
"060971530053022","0510012",1
"060971530066000","0510012",0.000010
"060971530053002","0510012",0.000005
"060971530053024","0510012",0.000011
"060971529061014","0510012",0.000019
"060971530053027","0510012",1
"060971530053000","0510012",1
"060971530053023","0510012",0.000004
"060971530053021","0510012",1
"060971543041096","0500303",0.158642
"060971543041095","0500303",0.270512
"060971529041001","0500306",0.000160
"060971529034000","0500306",0.000008
"060971529043000","0500306",0.000924
"060971529031001","0500306",1
"060971529043001","0500306",1
"060971529031000","0500306",0.051012
"060971512042007","0230013",0.999982
"060971512043002","0230013",0.320770
"060971512042004","0230013",0.205594
"060971512043007","0230013",0.887300
"060971512042010","0230013",0.444493
"060971512043006","0230013",1
"060971512043008","0230013",0.988981
"060971512043009","0230013",0.980054
"060971537082011","0500305",0.006562
"060971529032003","0500307",0.000001
"060971529032004","0500307",1
"060971536023000","0500300",0.000001
"060971536023001","0500300",0.000002
"060971536023004","0500300",1
"060971536023010","0500300",1
"060971536023009","0500300",1
"060971530022003","0510004",0.000002
"060971530033003","0510004",0.528057
"060971530033007","0510004",1
"060971530032004","0510004",0.295019
"060971531042000","0510004",0.211982
"060971531042001","0510004",0.012390
"060971530021000","0510003",0.000005
"060971530024009","0510003",0.000001
"060971530024010","0510003",1
"060971530024013","0510003",1
"060971530024011","0510003",1
"060971530024012","0510003",1
"060971530022000","0510003",1
"060971530025004","0510003",1
