"rgprec","tract","block","blkreg","rgtotreg","pctrgprec","blktotreg","pctblk"
"0002510-A","153003","2000","1","1","100","21","4.761904761"
"0003131","150701","1016","1","1","100","6","16.666666666"
"0100001","152401","3001","105","132","79.545454545","200","52.5"
"0100001","152401","3002","3","132","2.272727272","14","21.428571428"
"0100001","152401","3004","21","132","15.909090909","21","100"
"0100001","152401","3005","1","132","0.757575757","12","8.333333333"
"0100001","152401","3008","1","132","0.757575757","165","0.606060606"
"0100001","152401","3009","1","132","0.757575757","38","2.631578947"
"0100002","152401","3002","10","12","83.333333333","14","71.428571428"
"0100002","152401","3003","2","12","16.666666666","10","20"
"0100003","152401","1003","1","47","2.127659574","135","0.74074074"
"0100003","152401","1004","12","47","25.531914893","12","100"
"0100003","152401","1028","3","47","6.382978723","128","2.34375"
"0100003","152401","1029","18","47","38.29787234","20","90"
"0100003","152401","1030","12","47","25.531914893","23","52.173913043"
"0100003","152401","1031","1","47","2.127659574","9","11.111111111"
"0100004","152401","3014","20","20","100","20","100"
"0100005","152401","3000","7","14","50","10","70"
"0100005","152401","3001","7","14","50","200","3.5"
"0100006","152501","3008","3","3","100","9","33.333333333"
"0100007","152501","1011","3","32","9.375","253","1.18577075"
"0100007","152501","1016","29","32","90.625","33","87.878787878"
"0100008","152602","1016","4","4","100","12","33.333333333"
"0100010","151309","2000","1","38","2.631578947","62","1.612903225"
"0100010","151505","2006","37","38","97.368421052","99","37.373737373"
"0100011","151403","2036","4","5","80","22","18.181818181"
"0100011","151505","2006","1","5","20","99","1.01010101"
"0100013","151403","2037","1","1","100","6","16.666666666"
"0100014","152602","1000","19","113","16.814159292","43","44.186046511"
"0100014","152602","1002","16","113","14.159292035","27","59.259259259"
"0100014","152602","1003","7","113","6.194690265","7","100"
"0100014","152602","1004","15","113","13.274336283","17","88.235294117"
"0100014","152602","1005","19","113","16.814159292","19","100"
"0100014","152602","1040","37","113","32.743362831","37","100"
"0100016","152602","1017","1","55","1.818181818","37","2.702702702"
"0100016","152602","1025","3","55","5.454545454","37","8.108108108"
"0100016","152602","1026","14","55","25.454545454","16","87.5"
"0100016","152602","1031","35","55","63.636363636","42","83.333333333"
"0100016","152602","1034","1","55","1.818181818","1","100"
"0100016","152602","1069","1","55","1.818181818","6","16.666666666"
"0100017","152602","1030","1","31","3.225806451","4","25"
"0100017","152602","1041","2","31","6.451612903","3","66.666666666"
"0100017","152602","1042","25","31","80.64516129","28","89.285714285"
"0100017","152602","1048","1","31","3.225806451","12","8.333333333"
"0100017","152602","1065","1","31","3.225806451","2","50"
"0100017","152602","1068","1","31","3.225806451","2","50"
"0100018","152501","2001","1","60","1.666666666","404","0.247524752"
"0100018","152501","2002","34","60","56.666666666","34","100"
"0100018","152501","2003","1","60","1.666666666","5","20"
"0100018","152501","3000","2","60","3.333333333","196","1.020408163"
"0100018","152501","3003","11","60","18.333333333","47","23.404255319"
"0100018","152501","3004","6","60","10","8","75"
"0100018","152502","2015","1","60","1.666666666","21","4.761904761"
"0100018","152502","2016","2","60","3.333333333","4","50"
"0100018","152502","2017","2","60","3.333333333","2","100"
"0100019","152502","2013","2","2","100","3","66.666666666"
"0100020","152502","2004","6","17","35.294117647","17","35.294117647"
"0100020","152502","2008","11","17","64.705882352","20","55"
"0100021","152501","3000","3","26","11.538461538","196","1.530612244"
"0100021","152501","3002","23","26","88.461538461","29","79.310344827"
"0100022","152502","1004","2","3","66.666666666","141","1.418439716"
"0100022","152502","1005","1","3","33.333333333","1","100"
"0100023","151601","2002","11","142","7.746478873","129","8.527131782"
"0100023","152601","2004","30","142","21.126760563","97","30.927835051"
"0100023","152601","2007","4","142","2.816901408","236","1.694915254"
"0100023","152601","2016","1","142","0.704225352","271","0.36900369"
"0100023","152601","2032","2","142","1.408450704","14","14.285714285"
"0100023","152602","1054","16","142","11.267605633","16","100"
"0100023","152602","1055","16","142","11.267605633","16","100"
"0100023","152602","1056","2","142","1.408450704","3","66.666666666"
"0100023","152602","1057","26","142","18.309859154","28","92.857142857"
"0100023","152602","1058","23","142","16.197183098","26","88.461538461"
"0100023","152602","1059","5","142","3.52112676","16","31.25"
"0100023","152602","1061","6","142","4.225352112","38","15.789473684"
"0100025","151601","1000","26","170","15.294117647","271","9.59409594"
"0100025","151601","2002","103","170","60.588235294","129","79.84496124"
"0100025","151601","2005","3","170","1.764705882","17","17.647058823"
"0100025","151601","2010","33","170","19.411764705","312","10.576923076"
"0100025","151601","2012","1","170","0.588235294","8","12.5"
"0100025","151602","3000","3","170","1.764705882","38","7.894736842"
"0100025","152602","1058","1","170","0.588235294","26","3.846153846"
"0100026","151601","2002","1","2","50","129","0.775193798"
"0100026","152602","1056","1","2","50","3","33.333333333"
"0100027","151601","2002","14","16","87.5","129","10.852713178"
"0100027","152602","1057","2","16","12.5","28","7.142857142"
"0100030","152501","1002","5","6","83.333333333","59","8.474576271"
"0100030","152501","1004","1","6","16.666666666","4","25"
"0100031","151702","4003","5","5","100","5","100"
"0100032","151702","4001","10","10","100","14","71.428571428"
"0100033","150501","2023","1","140","0.714285714","2","50"
"0100033","151309","1000","5","140","3.571428571","112","4.464285714"
"0100033","151505","2005","1","140","0.714285714","42","2.38095238"
"0100033","151505","2008","83","140","59.285714285","92","90.217391304"
"0100033","151505","2017","50","140","35.714285714","51","98.039215686"
"0100035","151505","2016","3","3","100","3","100"
"0100036","151503","1001","55","147","37.414965986","267","20.599250936"
"0100036","151503","1003","22","147","14.965986394","22","100"
"0100036","151503","1004","45","147","30.612244897","50","90"
"0100036","151503","1006","25","147","17.006802721","25","100"
"0100037","151503","1001","210","408","51.470588235","267","78.651685393"
"0100037","151503","1002","56","408","13.725490196","56","100"
"0100037","151503","1007","3","408","0.735294117","92","3.260869565"
"0100037","151503","3012","1","408","0.245098039","5","20"
"0100037","151503","3013","4","408","0.980392156","19","21.052631578"
"0100037","151505","2000","39","408","9.558823529","40","97.5"
"0100037","151505","2001","62","408","15.196078431","62","100"
"0100037","151505","2002","14","408","3.431372549","15","93.333333333"
"0100037","151505","2003","13","408","3.186274509","13","100"
"0100037","151505","2009","2","408","0.490196078","5","40"
"0100037","151506","4000","1","408","0.245098039","287","0.348432055"
"0100037","151506","4009","1","408","0.245098039","4","25"
"0100037","151602","3001","1","408","0.245098039","141","0.709219858"
"0100037","151602","3006","1","408","0.245098039","75","1.333333333"
"0100038","150501","2018","15","273","5.494505494","18","83.333333333"
"0100038","150501","2019","54","273","19.78021978","54","100"
"0100038","150501","2020","3","273","1.098901098","3","100"
"0100038","150501","2021","15","273","5.494505494","15","100"
"0100038","150501","2022","152","273","55.677655677","152","100"
"0100038","150501","2023","1","273","0.366300366","2","50"
"0100038","150501","2026","6","273","2.197802197","7","85.714285714"
"0100038","151309","1000","9","273","3.296703296","112","8.035714285"
"0100038","151503","1004","5","273","1.831501831","50","10"
"0100038","151505","2002","1","273","0.366300366","15","6.666666666"
"0100038","151505","2008","9","273","3.296703296","92","9.782608695"
"0100038","151505","2009","3","273","1.098901098","5","60"
"0100039","151505","2005","1","1","100","42","2.38095238"
"0100040","151505","2004","4","4","100","73","5.479452054"
"0100041","151505","2006","45","62","72.580645161","99","45.454545454"
"0100041","151505","2014","17","62","27.419354838","17","100"
"0100042","151505","2012","3","3","100","39","7.692307692"
"0100043","150502","2015","9","16","56.25","41","21.951219512"
"0100043","151601","2006","5","16","31.25","5","100"
"0100043","151601","2016","2","16","12.5","7","28.571428571"
"0100044","150502","2000","1","31","3.225806451","22","4.545454545"
"0100044","150502","2002","5","31","16.129032258","6","83.333333333"
"0100044","150502","2003","19","31","61.29032258","20","95"
"0100044","150502","2005","1","31","3.225806451","1","100"
"0100044","150502","2006","4","31","12.903225806","8","50"
"0100044","151601","2007","1","31","3.225806451","5","20"
"0100046","151601","2004","2","2","100","2","100"
"0100047","151601","2017","8","10","80","10","80"
"0100047","151601","2018","1","10","10","1","100"
"0100047","151602","1007","1","10","10","81","1.234567901"
"0100051","150501","1000","136","748","18.181818181","136","100"
"0100051","150501","1001","21","748","2.807486631","21","100"
