rgprec,rrprec,srprec,svprec
0002510-A,0310027,0731008,0731008
0002510-A,0310027,0731008,0731008A
0003131,0250061,0725015,0725015
0003131,0250061,0725015,0725015A
0100001,0100001,0710004,0710004
0100001,0100001,0710004,0710004A
0100002,0100002,0100002,0100002
0100002,0100002,0100002,0100002A
0100003,0100003,0100003,0100003
0100003,0100003,0100003,0100003A
0100004,0100004,0710008,0710008
0100004,0100004,0710008,0710008A
0100005,0100005,0710004,0710004
0100005,0100005,0710004,0710004A
0100006,0100006,0100006,0100006
0100006,0100006,0100006,0100006A
0100007,0100007,0100007,0100007
0100007,0100007,0100007,0100007A
0100008,0100008,0710001,0710001
0100008,0100008,0710001,0710001A
0100009,0100009,0710001,0710001
0100009,0100009,0710001,0710001A
0100010,0100010,0710017,0710017
0100010,0100010,0710017,0710017A
0100011,0100011,0710019,0710019
0100011,0100011,0710019,0710019A
0100012,0100012,0710017,0710017
0100012,0100012,0710017,0710017A
0100013,0100013,0100013,0100013
0100013,0100013,0100013,0100013A
0100014,0100014,0710001,0710001
0100014,0100014,0710001,0710001A
0100016,0100016,0710002,0710002
0100016,0100016,0710002,0710002A
0100017,0100017,0710002,0710002
0100017,0100017,0710002,0710002A
0100018,0100018,0100018,0100018
0100018,0100018,0100018,0100018A
0100019,0100019,0100019,0100019
0100019,0100019,0100019,0100019A
0100020,0100020,0710009,0710009
0100020,0100020,0710009,0710009A
0100021,0100021,0100021,0100021
0100021,0100021,0100021,0100021A
0100022,0100022,0100022,0100022
0100022,0100022,0100022,0100022A
0100023,0100023,0710005,0710005
0100023,0100023,0710005,0710005A
0100024,0100024,0710005,0710005
0100024,0100024,0710005,0710005A
0100025,0100025,0710005,0710005
0100025,0100025,0710005,0710005A
0100026,0100026,0710006,0710006
0100026,0100026,0710006,0710006A
0100027,0100027,0710006,0710006
0100027,0100027,0710006,0710006A
0100028,0100028,0710006,0710006
0100028,0100028,0710006,0710006A
0100029,0100029,0710006,0710006
0100029,0100029,0710006,0710006A
0100030,0100030,0100030,0100030
0100030,0100030,0100030,0100030A
0100031,0100031,0100031,0100031
0100031,0100031,0100031,0100031A
0100032,0100032,0100032,0100032
0100032,0100032,0100032,0100032A
0100033,0100033,0710020,0710020
0100033,0100033,0710020,0710020A
0100034,0100034,0710031,0710031
0100034,0100034,0710031,0710031A
0100035,0100035,0710032,0710032
0100035,0100035,0710032,0710032A
0100036,0100036,0710012,0710012
0100036,0100036,0710012,0710012A
0100037,0100037,0710012,0710012
0100037,0100037,0710012,0710012A
0100038,0100038,0710020,0710020
0100038,0100038,0710020,0710020A
0100039,0100039,0710020,0710020
0100039,0100039,0710020,0710020A
0100040,0100040,0710013,0710013
0100040,0100040,0710013,0710013A
0100041,0100041,0710018,0710018
0100041,0100041,0710018,0710018A
0100042,0100042,0710018,0710018
0100042,0100042,0710018,0710018A
0100043,0100043,0710007,0710007
0100043,0100043,0710007,0710007A
0100044,0100044,0710010,0710010
0100044,0100044,0710010,0710010A
0100045,0100045,0710014,0710014
0100045,0100045,0710014,0710014A
0100046,0100046,0710007,0710007
0100046,0100046,0710007,0710007A
0100047,0100047,0710007,0710007
0100047,0100047,0710007,0710007A
0100048,0100048,0710014,0710014
0100048,0100048,0710014,0710014A
0100049,0100049,0710007,0710007
0100049,0100049,0710007,0710007A
0100050,0100050,0710010,0710010
0100050,0100050,0710010,0710010A
