voter_id,precinct,party,age,gender,ethnicity,mail_ballot_status,vote_history_2016,vote_history_2018,vote_history_2020,vote_history_2022,vote_history_2024
CA10000000,0725002,D,21,F,W,Y,Y,Y,Y,Y,Y
CA10000001,0710049,D,21,F,H,Y,N,N,N,N,N
CA10000002,0720019,N,53,M,B,Y,Y,Y,N,N,N
CA10000003,0720026,D,66,M,W,N,N,Y,Y,Y,N
CA10000004,0200117,D,47,F,W,Y,N,Y,Y,N,N
CA10000005,0200048,D,39,F,W,N,Y,N,N,Y,Y
CA10000006,0200029,R,22,F,W,N,N,Y,Y,Y,Y
CA10000007,0725003,N,36,M,W,N,Y,N,N,Y,Y
CA10000008,0720024,N,29,F,A,Y,Y,Y,Y,Y,Y
CA10000009,0710051,D,19,F,W,Y,N,N,N,N,N
CA10000010,0725008,D,51,U,H,Y,Y,N,N,N,Y
CA10000011,0200142,D,85,F,W,Y,Y,Y,N,N,Y
CA10000012,0720028,D,28,F,H,Y,N,Y,N,N,N
CA10000013,0720030,N,45,F,H,Y,N,Y,N,Y,N
CA10000014,0710050,R,26,M,W,N,Y,Y,Y,Y,N
CA10000015,0200048,D,48,M,W,Y,N,N,N,Y,Y
CA10000016,0200121,D,73,M,W,N,Y,N,N,Y,N
CA10000017,0200121,R,42,M,W,Y,Y,Y,N,Y,N
CA10000018,0200029,D,19,U,B,Y,N,N,N,N,Y
CA10000019,0720016,N,76,M,H,Y,N,N,N,N,N
CA10000020,0725009,D,25,F,W,Y,N,N,Y,N,Y
CA10000021,0720030,D,48,M,B,Y,N,Y,Y,N,N
CA10000022,0710051,R,58,M,W,N,Y,Y,N,Y,Y
CA10000023,0200121,D,45,F,W,Y,Y,Y,Y,Y,N
CA10000024,0725013,D,85,M,H,Y,Y,N,Y,Y,Y
CA10000025,0710052,N,44,F,W,Y,Y,Y,N,N,Y
CA10000026,0710052,D,18,M,W,N,N,N,N,N,Y
CA10000027,0725006,R,22,F,W,N,Y,Y,N,Y,N
CA10000028,0250052,D,49,F,W,Y,N,N,N,N,Y
CA10000029,0725013,D,40,F,W,Y,N,N,N,N,N
CA10000030,0725012,D,31,M,W,Y,Y,N,Y,N,N
CA10000031,0725004,R,69,M,A,N,N,N,N,N,N
CA10000032,0200122,N,40,F,O,Y,Y,Y,Y,Y,N
CA10000033,0720028,R,50,M,W,Y,N,N,N,N,Y
CA10000034,0725004,N,58,F,W,Y,N,N,N,N,N
CA10000035,0725004,N,40,F,W,Y,Y,Y,Y,N,N
CA10000036,0720020,D,45,F,H,Y,N,N,N,N,N
CA10000037,0725010,R,57,M,W,Y,Y,Y,Y,Y,Y
CA10000038,0250047,D,67,F,W,Y,Y,N,N,Y,Y
CA10000039,0725006,D,77,M,W,N,N,N,N,N,N
CA10000040,0720020,D,82,M,A,Y,Y,N,Y,N,N
CA10000041,0725011,D,80,F,W,Y,Y,Y,Y,Y,Y
CA10000042,0725006,R,45,M,W,Y,Y,Y,Y,N,N
CA10000043,0725016,D,66,F,B,N,Y,N,Y,Y,Y
CA10000044,0710049,N,46,M,W,N,N,N,N,N,N
CA10000045,0720026,D,68,F,H,Y,Y,N,Y,Y,Y
CA10000046,0720013,D,66,M,B,Y,N,Y,N,Y,N
CA10000047,0200048,D,23,F,B,Y,Y,Y,Y,Y,Y
CA10000048,0725006,N,65,M,H,Y,Y,N,N,Y,Y
CA10000049,0725005,N,68,F,W,N,N,Y,N,Y,N
CA10000050,0725012,D,23,M,W,N,N,Y,N,N,Y
CA10000051,0725002,D,76,F,W,Y,N,N,N,N,N
CA10000052,0725008,D,52,M,W,Y,N,N,N,N,N
CA10000053,0720023,D,59,M,W,N,N,N,N,N,Y
CA10000054,0200117,R,70,F,H,Y,N,Y,N,Y,Y
CA10000055,0720011,D,65,F,W,Y,N,Y,N,Y,Y
CA10000056,0250047,N,33,F,B,Y,Y,N,Y,N,N
CA10000057,0200121,D,42,M,W,N,N,Y,Y,Y,Y
CA10000058,0725002,D,80,M,W,Y,Y,Y,N,Y,N
CA10000059,0200048,N,80,M,H,N,Y,Y,Y,N,Y
CA10000060,0720030,D,46,F,W,N,N,N,N,N,Y
CA10000061,0200121,D,44,F,W,Y,Y,Y,Y,Y,Y
CA10000062,0100267,R,54,F,H,N,N,N,N,N,N
CA10000063,0720019,D,46,F,A,Y,Y,N,N,N,N
CA10000064,0200122,N,56,F,B,Y,Y,Y,Y,Y,Y
CA10000065,0200117,R,20,U,H,Y,Y,Y,Y,Y,N
CA10000066,0720029,N,80,U,W,Y,Y,Y,Y,Y,Y
CA10000067,0720017,D,22,F,W,Y,N,Y,N,N,N
CA10000068,0720018,D,42,F,H,N,Y,Y,Y,Y,Y
CA10000069,0720023,D,21,U,H,N,Y,Y,Y,Y,N
CA10000070,0720021,D,37,F,H,Y,Y,N,N,Y,N
CA10000071,0720030,D,35,F,W,Y,N,N,N,N,N
CA10000072,0720029,D,80,F,W,N,Y,N,Y,N,N
CA10000073,0710050,D,67,M,H,N,Y,Y,Y,Y,Y
CA10000074,0200136,N,22,M,B,Y,Y,N,Y,N,Y
CA10000075,0725003,R,27,F,B,Y,N,N,N,N,N
CA10000076,0720012,D,80,F,W,Y,Y,N,N,Y,Y
CA10000077,0725002,D,30,M,H,Y,Y,N,N,N,Y
CA10000078,0720028,D,41,M,W,Y,N,N,N,Y,N
CA10000079,0710051,D,19,F,W,N,Y,Y,N,N,Y
CA10000080,0725006,N,76,F,W,Y,Y,Y,N,N,N
CA10000081,0725015,D,68,M,W,Y,N,Y,N,Y,N
CA10000082,0725013,R,63,M,W,Y,Y,Y,Y,Y,Y
CA10000083,0100267,N,74,M,W,N,N,Y,Y,Y,Y
CA10000084,0720015,D,82,F,H,Y,Y,Y,Y,Y,Y
CA10000085,0200048,R,46,F,H,Y,N,N,N,N,Y
CA10000086,0720021,N,51,F,H,N,Y,N,Y,N,N
CA10000087,0710049,D,26,F,W,Y,N,Y,Y,Y,N
CA10000088,0710050,D,35,M,W,Y,N,N,N,N,N
CA10000089,0725015,N,70,F,W,Y,Y,Y,Y,Y,N
CA10000090,0725003,N,25,M,W,Y,Y,Y,Y,Y,Y
CA10000091,0725012,N,49,U,H,N,Y,Y,Y,Y,Y
CA10000092,0725012,D,18,M,O,Y,N,N,Y,N,Y
CA10000093,0725012,R,59,M,W,Y,Y,Y,Y,Y,Y
CA10000094,0720020,D,46,F,W,Y,N,N,N,N,Y
CA10000095,0720017,N,31,F,A,Y,Y,Y,Y,Y,Y
CA10000096,0720012,N,85,M,W,N,N,Y,N,N,N
CA10000097,0720019,N,47,M,H,Y,N,Y,Y,Y,N
CA10000098,0720022,D,29,F,W,Y,Y,Y,Y,Y,Y
CA10000099,0200122,N,63,F,B,Y,N,Y,Y,Y,Y
CA10000100,0200136,D,79,M,W,N,N,N,N,N,N
CA10000101,0725014,D,21,F,H,Y,Y,Y,N,N,Y
CA10000102,0200136,D,69,M,H,Y,Y,N,N,N,N
CA10000103,0720012,D,28,F,W,Y,Y,Y,N,N,N
CA10000104,0250052,D,83,M,W,Y,Y,Y,Y,Y,Y
CA10000105,0100134,R,56,F,H,Y,N,Y,N,N,Y
CA10000106,0710049,D,63,M,A,Y,Y,N,N,Y,Y
CA10000107,0720018,N,32,M,B,Y,N,Y,Y,Y,Y
CA10000108,0720019,D,69,F,W,Y,Y,Y,Y,N,Y
CA10000109,0725011,N,62,F,H,Y,N,Y,N,N,N
CA10000110,0200147,D,81,F,W,N,N,N,N,N,Y
CA10000111,0720012,R,74,M,W,Y,Y,Y,N,Y,Y
CA10000112,0725015,N,27,F,O,Y,Y,Y,Y,N,Y
CA10000113,0725013,D,42,M,W,Y,Y,Y,N,Y,Y
CA10000114,0200147,D,49,F,O,Y,N,Y,N,Y,N
CA10000115,0200029,D,60,M,W,Y,Y,N,N,N,N
CA10000116,0720029,D,36,F,W,Y,N,Y,N,Y,N
CA10000117,0720013,D,34,F,H,Y,N,N,N,N,N
CA10000118,0200147,R,61,F,W,N,Y,Y,Y,Y,Y
CA10000119,0720025,D,61,F,H,Y,Y,Y,N,N,N
CA10000120,0100267,N,64,F,W,N,Y,N,Y,N,Y
CA10000121,0720022,D,42,M,B,N,N,N,N,N,N
CA10000122,0725013,D,35,F,W,Y,Y,N,N,N,Y
CA10000123,0200142,N,75,F,W,Y,N,Y,Y,Y,Y
CA10000124,0720024,N,48,M,W,Y,Y,Y,Y,Y,Y
CA10000125,0725015,N,35,F,W,Y,N,Y,Y,Y,N
CA10000126,0720019,D,54,M,W,Y,Y,Y,Y,Y,Y
CA10000127,0725002,D,48,F,W,Y,Y,Y,Y,Y,Y
CA10000128,0720025,D,82,F,W,Y,N,Y,Y,Y,Y
CA10000129,0200048,N,48,F,H,Y,N,N,Y,N,N
CA10000130,0725011,D,77,U,W,N,Y,Y,N,Y,Y
CA10000131,0100267,N,57,F,O,N,Y,N,Y,Y,N
CA10000132,0720013,N,33,F,W,Y,Y,N,Y,Y,N
CA10000133,0725013,D,52,F,H,Y,Y,Y,Y,Y,Y
CA10000134,0720011,N,72,M,W,N,N,N,N,Y,N
CA10000135,0200029,D,69,M,H,Y,N,Y,N,N,Y
CA10000136,0725011,D,64,M,B,Y,Y,Y,Y,Y,Y
CA10000137,0720015,N,58,F,W,Y,Y,Y,Y,Y,Y
CA10000138,0720020,R,54,F,O,N,Y,Y,Y,Y,N
CA10000139,0725016,N,62,F,W,Y,Y,Y,Y,Y,Y
CA10000140,0710049,D,43,F,W,N,Y,N,Y,N,Y
CA10000141,0200048,N,68,U,H,Y,N,N,Y,N,N
CA10000142,0725005,D,62,M,H,N,N,N,Y,N,N
CA10000143,0720025,R,56,M,W,Y,N,N,N,N,N
CA10000144,0720027,N,34,F,H,N,Y,Y,Y,Y,Y
CA10000145,0720013,D,23,F,W,Y,Y,Y,Y,Y,Y
CA10000146,0720023,D,55,F,W,Y,Y,Y,Y,Y,Y
CA10000147,0720021,R,61,F,W,Y,N,N,N,Y,N
CA10000148,0720012,R,77,M,W,N,Y,N,N,Y,N
CA10000149,0725014,N,58,M,W,Y,N,N,N,Y,N
CA10000150,0710050,R,63,M,W,Y,N,N,Y,Y,Y
CA10000151,0710051,D,64,F,W,N,N,Y,N,Y,N
CA10000152,0710052,D,33,M,W,Y,N,N,Y,Y,N
CA10000153,0100267,D,22,M,W,Y,Y,N,N,Y,N
CA10000154,0725001,D,56,F,W,Y,Y,N,Y,Y,Y
CA10000155,0720018,D,57,F,H,Y,Y,Y,N,N,N
CA10000156,0725008,D,79,M,H,Y,N,Y,N,Y,N
CA10000157,0100250,N,58,M,W,Y,Y,Y,Y,Y,Y
CA10000158,0720025,R,59,U,W,N,N,Y,N,N,N
CA10000159,0725005,D,51,F,W,Y,Y,Y,N,Y,Y
CA10000160,0725007,N,58,F,W,Y,N,N,N,N,N
CA10000161,0720014,D,36,M,W,Y,N,N,N,N,N
CA10000162,0720027,D,52,M,H,Y,Y,N,N,N,Y
CA10000163,0725007,N,30,F,W,Y,N,N,N,N,N
CA10000164,0725010,N,59,M,W,N,N,N,N,N,Y
CA10000165,0720018,D,40,F,W,Y,N,N,N,N,N
CA10000166,0720011,D,31,F,W,Y,N,N,N,Y,N
CA10000167,0725013,D,60,M,W,Y,Y,Y,Y,Y,Y
CA10000168,0725016,D,69,F,W,Y,Y,Y,Y,Y,Y
CA10000169,0710050,N,52,U,W,Y,Y,N,N,Y,Y
CA10000170,0720017,D,82,F,A,N,N,N,N,N,N
CA10000171,0720022,R,76,F,H,Y,N,Y,N,N,Y
CA10000172,0725010,D,28,F,W,Y,N,Y,N,N,Y
CA10000173,0200142,N,84,M,H,Y,N,N,N,Y,Y
CA10000174,0720028,D,77,F,W,Y,Y,Y,Y,Y,Y
CA10000175,0720026,D,26,U,W,Y,Y,Y,Y,Y,N
CA10000176,0720016,N,66,M,H,Y,N,N,Y,Y,N
CA10000177,0725008,R,18,F,O,Y,N,Y,Y,Y,Y
CA10000178,0250047,D,32,M,H,Y,N,N,Y,Y,N
CA10000179,0725005,D,24,M,W,Y,N,N,N,Y,N
CA10000180,0725008,D,58,F,H,Y,N,N,N,N,N
CA10000181,0720027,D,40,F,W,Y,N,N,N,N,Y
CA10000182,0200136,N,66,M,W,Y,Y,N,Y,Y,Y
CA10000183,0720018,D,85,M,W,Y,Y,N,Y,Y,Y
CA10000184,0710052,N,23,F,W,N,N,N,N,N,N
CA10000185,0100134,R,42,U,W,Y,N,N,N,N,N
CA10000186,0725011,N,66,F,H,N,Y,N,Y,N,N
CA10000187,0720012,R,65,M,W,Y,N,Y,N,N,N
CA10000188,0250047,N,47,M,H,Y,N,N,Y,N,N
CA10000189,0720023,N,39,F,W,Y,Y,Y,N,N,N
CA10000190,0725015,D,27,F,H,Y,N,N,N,N,Y
CA10000191,0720015,D,79,F,W,Y,Y,Y,N,N,Y
CA10000192,0725006,D,73,F,A,Y,Y,Y,Y,Y,Y
CA10000193,0720017,D,65,U,W,Y,Y,Y,Y,Y,N
CA10000194,0100267,D,69,M,W,Y,Y,Y,Y,Y,Y
CA10000195,0725016,D,85,F,W,Y,N,N,N,N,N
CA10000196,0720026,D,22,M,A,Y,Y,Y,Y,Y,N
CA10000197,0720028,R,67,F,W,Y,N,N,N,Y,N
