precinct,srprec,mprec,state,county,city,supervisorial_district,school_district
0100001,0710004,0100001,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100002,0100002,0100002,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100003,0100003,0100003,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100004,0710008,0100004,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100005,0710004,0100005,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100006,0100006,0100006,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100007,0100007,0100007,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100008,0710001,0100008,CA,Sonoma,CALISTOGA,Unknown,Unknown
0100009,0710001,0100009,CA,Sonoma,CALISTOGA,Unknown,Unknown
0100010,0710017,0100010,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100011,0710019,0100011,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100012,0710017,0100012,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100013,0100013,0100013,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100014,0710001,0100014,CA,Sonoma,CALISTOGA,Unknown,Unknown
0100016,0710002,0100016,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100017,0710002,0100017,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100018,0100018,0100018,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100019,0100019,0100019,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100020,0710009,0100020,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100021,0100021,0100021,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100022,0100022,0100022,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100023,0710005,0100023,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100024,0710005,0100024,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100025,0710005,0100025,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100026,0710006,0100026,CA,Sonoma,SANTA ROSA,Unknown,Unknown
0100027,0710006,0100027,CA,Sonoma,SANTA ROSA,Unknown,Unknown
