canonical_precinct_id,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score
None,REGION_01,1,Region 01,393,0,0.0
0100002,REGION_01,1,Region 01,393,0,0.0
0100003,REGION_01,1,Region 01,393,0,0.0
0100006,REGION_01,1,Region 01,393,0,0.0
0100007,REGION_01,1,Region 01,393,0,0.0
0100018,REGION_01,1,Region 01,393,0,0.0
0100019,REGION_01,1,Region 01,393,0,0.0
0100021,REGION_01,1,Region 01,393,0,0.0
0100022,REGION_01,1,Region 01,393,0,0.0
0100030,REGION_01,1,Region 01,393,0,0.0
0100031,REGION_01,1,Region 01,393,0,0.0
0100032,REGION_01,1,Region 01,393,0,0.0
0100067,REGION_01,1,Region 01,393,0,0.0
0100068,REGION_01,1,Region 01,393,0,0.0
0100073,REGION_01,1,Region 01,393,0,0.0
0100121,REGION_01,1,Region 01,393,0,0.0
0100134,REGION_01,1,Region 01,393,0,0.0
0100164,REGION_01,1,Region 01,393,0,0.0
0100172,REGION_01,1,Region 01,393,0,0.0
0100173,REGION_01,1,Region 01,393,0,0.0
0100175,REGION_01,1,Region 01,393,0,0.0
0100177,REGION_01,1,Region 01,393,0,0.0
0100206,REGION_01,1,Region 01,393,0,0.0
0100215,REGION_01,1,Region 01,393,0,0.0
0100217,REGION_01,1,Region 01,393,0,0.0
0100225,REGION_01,1,Region 01,393,0,0.0
0100232,REGION_01,1,Region 01,393,0,0.0
0100236,REGION_01,1,Region 01,393,0,0.0
0100237,REGION_01,1,Region 01,393,0,0.0
0100250,REGION_01,1,Region 01,393,0,0.0
0100262,REGION_01,1,Region 01,393,0,0.0
0100267,REGION_01,1,Region 01,393,0,0.0
0110001,REGION_01,1,Region 01,393,0,0.0
0110005,REGION_01,1,Region 01,393,0,0.0
0110086,REGION_01,1,Region 01,393,0,0.0
0180017,REGION_01,1,Region 01,393,0,0.0
0200029,REGION_01,1,Region 01,393,0,0.0
0200048,REGION_01,1,Region 01,393,0,0.0
0200055,REGION_01,1,Region 01,393,0,0.0
0200108,REGION_01,1,Region 01,393,0,0.0
0200109,REGION_01,1,Region 01,393,0,0.0
0200117,REGION_01,1,Region 01,393,0,0.0
0200121,REGION_01,1,Region 01,393,0,0.0
0200122,REGION_01,1,Region 01,393,0,0.0
0200130,REGION_01,1,Region 01,393,0,0.0
0200136,REGION_01,1,Region 01,393,0,0.0
0200142,REGION_01,1,Region 01,393,0,0.0
0200147,REGION_01,1,Region 01,393,0,0.0
0250047,REGION_01,1,Region 01,393,0,0.0
0250052,REGION_01,1,Region 01,393,0,0.0
0300003,REGION_01,1,Region 01,393,0,0.0
0300007,REGION_01,1,Region 01,393,0,0.0
0300019,REGION_01,1,Region 01,393,0,0.0
0300020,REGION_01,1,Region 01,393,0,0.0
0300025,REGION_01,1,Region 01,393,0,0.0
0310051,REGION_01,1,Region 01,393,0,0.0
0360010,REGION_01,1,Region 01,393,0,0.0
0400001,REGION_01,1,Region 01,393,0,0.0
0400005,REGION_01,1,Region 01,393,0,0.0
0400008,REGION_01,1,Region 01,393,0,0.0
0400010,REGION_01,1,Region 01,393,0,0.0
0400013,REGION_01,1,Region 01,393,0,0.0
0400059,REGION_01,1,Region 01,393,0,0.0
0400060,REGION_01,1,Region 01,393,0,0.0
0400061,REGION_01,1,Region 01,393,0,0.0
0400067,REGION_01,1,Region 01,393,0,0.0
0400125,REGION_01,1,Region 01,393,0,0.0
0400146,REGION_01,1,Region 01,393,0,0.0
0400159,REGION_01,1,Region 01,393,0,0.0
0400170,REGION_01,1,Region 01,393,0,0.0
0410008,REGION_01,1,Region 01,393,0,0.0
0410035,REGION_01,1,Region 01,393,0,0.0
0410041,REGION_01,1,Region 01,393,0,0.0
0410046,REGION_01,1,Region 01,393,0,0.0
0490040,REGION_01,1,Region 01,393,0,0.0
0500009,REGION_01,1,Region 01,393,0,0.0
0500010,REGION_01,1,Region 01,393,0,0.0
0500025,REGION_01,1,Region 01,393,0,0.0
0500026,REGION_01,1,Region 01,393,0,0.0
0500027,REGION_01,1,Region 01,393,0,0.0
0500028,REGION_01,1,Region 01,393,0,0.0
0500079,REGION_01,1,Region 01,393,0,0.0
0500126,REGION_01,1,Region 01,393,0,0.0
0500142,REGION_01,1,Region 01,393,0,0.0
0500154,REGION_01,1,Region 01,393,0,0.0
0500188,REGION_01,1,Region 01,393,0,0.0
0500202,REGION_01,1,Region 01,393,0,0.0
0500203,REGION_01,1,Region 01,393,0,0.0
0500208,REGION_01,1,Region 01,393,0,0.0
0500215,REGION_01,1,Region 01,393,0,0.0
0500218,REGION_01,1,Region 01,393,0,0.0
0500221,REGION_01,1,Region 01,393,0,0.0
0500231,REGION_01,1,Region 01,393,0,0.0
0500252,REGION_01,1,Region 01,393,0,0.0
0500273,REGION_01,1,Region 01,393,0,0.0
0500274,REGION_01,1,Region 01,393,0,0.0
0500278,REGION_01,1,Region 01,393,0,0.0
0500286,REGION_01,1,Region 01,393,0,0.0
0500292,REGION_01,1,Region 01,393,0,0.0
0500293,REGION_01,1,Region 01,393,0,0.0
0500297,REGION_01,1,Region 01,393,0,0.0
0500304,REGION_01,1,Region 01,393,0,0.0
0500306,REGION_01,1,Region 01,393,0,0.0
0500307,REGION_01,1,Region 01,393,0,0.0
0510027,REGION_01,1,Region 01,393,0,0.0
0510028,REGION_01,1,Region 01,393,0,0.0
0710001,REGION_01,1,Region 01,393,0,0.0
0710002,REGION_01,1,Region 01,393,0,0.0
0710003,REGION_01,1,Region 01,393,0,0.0
0710004,REGION_01,1,Region 01,393,0,0.0
0710005,REGION_01,1,Region 01,393,0,0.0
0710006,REGION_01,1,Region 01,393,0,0.0
0710007,REGION_01,1,Region 01,393,0,0.0
0710008,REGION_01,1,Region 01,393,0,0.0
0710009,REGION_01,1,Region 01,393,0,0.0
0710010,REGION_01,1,Region 01,393,0,0.0
0710011,REGION_01,1,Region 01,393,0,0.0
0710012,REGION_01,1,Region 01,393,0,0.0
0710013,REGION_01,1,Region 01,393,0,0.0
0710014,REGION_01,1,Region 01,393,0,0.0
0710015,REGION_01,1,Region 01,393,0,0.0
0710016,REGION_01,1,Region 01,393,0,0.0
0710017,REGION_01,1,Region 01,393,0,0.0
0710018,REGION_01,1,Region 01,393,0,0.0
0710019,REGION_01,1,Region 01,393,0,0.0
0710020,REGION_01,1,Region 01,393,0,0.0
0710021,REGION_01,1,Region 01,393,0,0.0
0710022,REGION_01,1,Region 01,393,0,0.0
0710023,REGION_01,1,Region 01,393,0,0.0
0710024,REGION_01,1,Region 01,393,0,0.0
0710025,REGION_01,1,Region 01,393,0,0.0
0710026,REGION_01,1,Region 01,393,0,0.0
0710027,REGION_01,1,Region 01,393,0,0.0
0710028,REGION_01,1,Region 01,393,0,0.0
0710029,REGION_01,1,Region 01,393,0,0.0
0710030,REGION_01,1,Region 01,393,0,0.0
0710031,REGION_01,1,Region 01,393,0,0.0
