canonical_precinct_id,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score
None,REGION_01,1,Region 01,58,0,0.0
0100134,REGION_01,1,Region 01,58,0,0.0
0100250,REGION_01,1,Region 01,58,0,0.0
0100267,REGION_01,1,Region 01,58,0,0.0
0200029,REGION_01,1,Region 01,58,0,0.0
0200048,REGION_01,1,Region 01,58,0,0.0
0200117,REGION_01,1,Region 01,58,0,0.0
0200121,REGION_01,1,Region 01,58,0,0.0
0200122,REGION_01,1,Region 01,58,0,0.0
0200130,REGION_01,1,Region 01,58,0,0.0
0200136,REGION_01,1,Region 01,58,0,0.0
0200142,REGION_01,1,Region 01,58,0,0.0
0200147,REGION_01,1,Region 01,58,0,0.0
0250047,REGION_01,1,Region 01,58,0,0.0
0250052,REGION_01,1,Region 01,58,0,0.0
0710049,REGION_01,1,Region 01,58,0,0.0
0710050,REGION_01,1,Region 01,58,0,0.0
0710051,REGION_01,1,Region 01,58,0,0.0
0710052,REGION_01,1,Region 01,58,0,0.0
0710053,REGION_01,1,Region 01,58,0,0.0
0720011,REGION_01,1,Region 01,58,0,0.0
0720012,REGION_01,1,Region 01,58,0,0.0
0720013,REGION_01,1,Region 01,58,0,0.0
0720014,REGION_01,1,Region 01,58,0,0.0
0720015,REGION_01,1,Region 01,58,0,0.0
0720016,REGION_01,1,Region 01,58,0,0.0
0720017,REGION_01,1,Region 01,58,0,0.0
0720018,REGION_01,1,Region 01,58,0,0.0
0720019,REGION_01,1,Region 01,58,0,0.0
0720020,REGION_01,1,Region 01,58,0,0.0
0720021,REGION_01,1,Region 01,58,0,0.0
0720022,REGION_01,1,Region 01,58,0,0.0
0720023,REGION_01,1,Region 01,58,0,0.0
0720024,REGION_01,1,Region 01,58,0,0.0
0720025,REGION_01,1,Region 01,58,0,0.0
0720026,REGION_01,1,Region 01,58,0,0.0
0720027,REGION_01,1,Region 01,58,0,0.0
0720028,REGION_01,1,Region 01,58,0,0.0
0720029,REGION_01,1,Region 01,58,0,0.0
0720030,REGION_01,1,Region 01,58,0,0.0
0725001,REGION_01,1,Region 01,58,0,0.0
0725002,REGION_01,1,Region 01,58,0,0.0
0725003,REGION_01,1,Region 01,58,0,0.0
0725004,REGION_01,1,Region 01,58,0,0.0
0725005,REGION_01,1,Region 01,58,0,0.0
0725006,REGION_01,1,Region 01,58,0,0.0
0725007,REGION_01,1,Region 01,58,0,0.0
0725008,REGION_01,1,Region 01,58,0,0.0
0725009,REGION_01,1,Region 01,58,0,0.0
0725010,REGION_01,1,Region 01,58,0,0.0
0725011,REGION_01,1,Region 01,58,0,0.0
0725012,REGION_01,1,Region 01,58,0,0.0
0725013,REGION_01,1,Region 01,58,0,0.0
0725014,REGION_01,1,Region 01,58,0,0.0
0725015,REGION_01,1,Region 01,58,0,0.0
0725016,REGION_01,1,Region 01,58,0,0.0
Contest Total,REGION_01,1,Region 01,58,0,0.0
*** Indicates vote data was suppressed due to voter privacy settings.,REGION_01,1,Region 01,58,0,0.0
