canonical_precinct_id,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score
0100002,REGION_10,1,Region 10,99,101232,0.2116
0100003,REGION_07,4,Region 07,81,64265,0.1452
0100006,REGION_09,9,Region 09,7,49,0.002
0100007,REGION_10,1,Region 10,99,101232,0.2116
0100018,REGION_02,3,Region 02,45,68982,0.3312
0100019,REGION_09,9,Region 09,7,49,0.002
0100021,REGION_10,1,Region 10,99,101232,0.2116
0100022,REGION_08,8,Region 08,11,106,0.0011
0100030,REGION_07,4,Region 07,81,64265,0.1452
0100031,REGION_01,7,Region 01,13,652,0.0135
0100032,REGION_01,7,Region 01,13,652,0.0135
0100067,REGION_04,5,Region 04,16,3377,0.0483
0100068,REGION_04,5,Region 04,16,3377,0.0483
0100073,REGION_06,6,Region 06,19,1459,0.0101
0100121,REGION_10,1,Region 10,99,101232,0.2116
0100134,REGION_03,10,Region 03,28,30,0.0
0100164,REGION_06,6,Region 06,19,1459,0.0101
0100172,REGION_08,8,Region 08,11,106,0.0011
0100173,REGION_08,8,Region 08,11,106,0.0011
0100175,REGION_03,10,Region 03,28,30,0.0
0100177,REGION_08,8,Region 08,11,106,0.0011
0100206,REGION_10,1,Region 10,99,101232,0.2116
0100215,REGION_05,2,Region 05,71,80979,0.2618
0100217,REGION_10,1,Region 10,99,101232,0.2116
0100225,REGION_06,6,Region 06,19,1459,0.0101
0100232,REGION_03,10,Region 03,28,30,0.0
0100236,REGION_07,4,Region 07,81,64265,0.1452
0100237,REGION_09,9,Region 09,7,49,0.002
0100250,REGION_04,5,Region 04,16,3377,0.0483
0100262,REGION_10,1,Region 10,99,101232,0.2116
0100267,REGION_06,6,Region 06,19,1459,0.0101
0110001,REGION_09,9,Region 09,7,49,0.002
0110005,REGION_02,3,Region 02,45,68982,0.3312
0110086,REGION_03,10,Region 03,28,30,0.0
0180017,REGION_03,10,Region 03,28,30,0.0
0200029,REGION_07,4,Region 07,81,64265,0.1452
0200048,REGION_01,7,Region 01,13,652,0.0135
0200055,REGION_05,2,Region 05,71,80979,0.2618
0200108,REGION_03,10,Region 03,28,30,0.0
0200109,REGION_03,10,Region 03,28,30,0.0
0200117,REGION_09,9,Region 09,7,49,0.002
0200121,REGION_03,10,Region 03,28,30,0.0
0200122,REGION_05,2,Region 05,71,80979,0.2618
0200130,REGION_04,5,Region 04,16,3377,0.0483
0200136,REGION_03,10,Region 03,28,30,0.0
0200142,REGION_05,2,Region 05,71,80979,0.2618
0200147,REGION_06,6,Region 06,19,1459,0.0101
0250047,REGION_10,1,Region 10,99,101232,0.2116
0250052,REGION_07,4,Region 07,81,64265,0.1452
0300003,REGION_06,6,Region 06,19,1459,0.0101
0300007,REGION_09,9,Region 09,7,49,0.002
0300019,REGION_01,7,Region 01,13,652,0.0135
0300020,REGION_07,4,Region 07,81,64265,0.1452
0300025,REGION_07,4,Region 07,81,64265,0.1452
0310051,REGION_02,3,Region 02,45,68982,0.3312
0360010,REGION_07,4,Region 07,81,64265,0.1452
0400001,REGION_04,5,Region 04,16,3377,0.0483
0400005,REGION_07,4,Region 07,81,64265,0.1452
0400008,REGION_01,7,Region 01,13,652,0.0135
0400010,REGION_07,4,Region 07,81,64265,0.1452
0400013,REGION_03,10,Region 03,28,30,0.0
0400059,REGION_03,10,Region 03,28,30,0.0
0400060,REGION_06,6,Region 06,19,1459,0.0101
0400061,REGION_03,10,Region 03,28,30,0.0
0400067,REGION_07,4,Region 07,81,64265,0.1452
0400125,REGION_03,10,Region 03,28,30,0.0
0400146,REGION_03,10,Region 03,28,30,0.0
0400159,REGION_06,6,Region 06,19,1459,0.0101
0400170,REGION_04,5,Region 04,16,3377,0.0483
0410008,REGION_02,3,Region 02,45,68982,0.3312
0410035,REGION_10,1,Region 10,99,101232,0.2116
0410041,REGION_03,10,Region 03,28,30,0.0
0410046,REGION_03,10,Region 03,28,30,0.0
0490040,REGION_07,4,Region 07,81,64265,0.1452
0500009,REGION_08,8,Region 08,11,106,0.0011
0500010,REGION_05,2,Region 05,71,80979,0.2618
0500025,REGION_06,6,Region 06,19,1459,0.0101
0500026,REGION_06,6,Region 06,19,1459,0.0101
0500027,REGION_07,4,Region 07,81,64265,0.1452
0500028,REGION_05,2,Region 05,71,80979,0.2618
0500079,REGION_05,2,Region 05,71,80979,0.2618
0500126,REGION_01,7,Region 01,13,652,0.0135
0500142,REGION_10,1,Region 10,99,101232,0.2116
0500154,REGION_04,5,Region 04,16,3377,0.0483
0500188,REGION_03,10,Region 03,28,30,0.0
0500202,REGION_06,6,Region 06,19,1459,0.0101
0500203,REGION_08,8,Region 08,11,106,0.0011
0500208,REGION_03,10,Region 03,28,30,0.0
0500215,REGION_01,7,Region 01,13,652,0.0135
0500218,REGION_04,5,Region 04,16,3377,0.0483
0500221,REGION_05,2,Region 05,71,80979,0.2618
0500231,REGION_04,5,Region 04,16,3377,0.0483
0500252,REGION_03,10,Region 03,28,30,0.0
0500273,REGION_02,3,Region 02,45,68982,0.3312
0500274,REGION_04,5,Region 04,16,3377,0.0483
0500278,REGION_04,5,Region 04,16,3377,0.0483
0500286,REGION_08,8,Region 08,11,106,0.0011
0500292,REGION_08,8,Region 08,11,106,0.0011
0500293,REGION_03,10,Region 03,28,30,0.0
0500297,REGION_07,4,Region 07,81,64265,0.1452
0500304,REGION_03,10,Region 03,28,30,0.0
0500306,REGION_09,9,Region 09,7,49,0.002
0500307,REGION_07,4,Region 07,81,64265,0.1452
0510027,REGION_03,10,Region 03,28,30,0.0
0510028,REGION_03,10,Region 03,28,30,0.0
0710001,REGION_10,1,Region 10,99,101232,0.2116
0710002,REGION_07,4,Region 07,81,64265,0.1452
0710003,REGION_07,4,Region 07,81,64265,0.1452
0710004,REGION_07,4,Region 07,81,64265,0.1452
0710005,REGION_07,4,Region 07,81,64265,0.1452
0710006,REGION_10,1,Region 10,99,101232,0.2116
0710007,REGION_10,1,Region 10,99,101232,0.2116
0710008,REGION_07,4,Region 07,81,64265,0.1452
0710009,REGION_07,4,Region 07,81,64265,0.1452
0710010,REGION_10,1,Region 10,99,101232,0.2116
0710011,REGION_07,4,Region 07,81,64265,0.1452
0710012,REGION_10,1,Region 10,99,101232,0.2116
0710013,REGION_07,4,Region 07,81,64265,0.1452
0710014,REGION_10,1,Region 10,99,101232,0.2116
0710015,REGION_10,1,Region 10,99,101232,0.2116
0710016,REGION_10,1,Region 10,99,101232,0.2116
0710017,REGION_10,1,Region 10,99,101232,0.2116
0710018,REGION_10,1,Region 10,99,101232,0.2116
0710019,REGION_05,2,Region 05,71,80979,0.2618
0710020,REGION_10,1,Region 10,99,101232,0.2116
0710021,REGION_05,2,Region 05,71,80979,0.2618
0710022,REGION_05,2,Region 05,71,80979,0.2618
0710023,REGION_05,2,Region 05,71,80979,0.2618
0710024,REGION_10,1,Region 10,99,101232,0.2116
0710025,REGION_10,1,Region 10,99,101232,0.2116
0710026,REGION_04,5,Region 04,16,3377,0.0483
0710027,REGION_01,7,Region 01,13,652,0.0135
0710028,REGION_05,2,Region 05,71,80979,0.2618
