canonical_precinct_id,registered,ballots_cast,turnout_pct,support_pct,log_registered,sqrt_registered,ballots_cast_per_registered,support_density,target_score,target_tier,walk_priority_rank,confidence_level,walk_priority,universe_name,universe_reason,key_metrics_snapshot,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score,doors_estimated,shifts_needed,volunteers_needed_weekend,expected_contacts,doors_to_knock,volunteers_needed,weeks_required,net_gain_turnout,net_gain_persuasion,expected_net_gain
0100002,13,10,0.769231,0.7,2.6390573296152584,3.605551275463989,0.7692307692307693,9.1,0.002595931181967062,4,321,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 13, ""turnout_pct"": 0.769, ""support_pct"": 0.7}",REGION_10,1,Region 10,99,101232,0.2116,8,0.13333333333333333,0.026666666666666665,2.0,8,0.0,0.1,0.014000000000000002,0.004,0.018000000000000002
0100003,44,32,0.727273,0.59375,3.8066624897703196,6.6332495807108,0.7272727272727273,26.125,0.007452604629548296,4,288,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 44, ""turnout_pct"": 0.727, ""support_pct"": 0.594}",REGION_07,4,Region 07,81,64265,0.1452,29,0.48333333333333334,0.09666666666666666,7.25,29,0.1,0.2,0.043046875000000005,0.0145,0.057546875000000004
0100006,3,1,0.333333,1.0,1.3862943611198906,1.7320508075688772,0.3333333333333333,3.0,0.00085580148856057,4,341,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 3, ""turnout_pct"": 0.333, ""support_pct"": 1.0}",REGION_09,9,Region 09,7,49,0.002,2,0.03333333333333333,0.006666666666666666,0.5,2,0.0,0.0,0.005000000000000001,0.001,0.006000000000000001
0100007,30,22,0.733333,0.727273,3.4339872044851463,5.477225575051661,0.7333333333333333,21.818189999999998,0.0062240131598991135,4,292,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 30, ""turnout_pct"": 0.733, ""support_pct"": 0.727}",REGION_10,1,Region 10,99,101232,0.2116,20,0.3333333333333333,0.06666666666666667,5.0,20,0.1,0.2,0.036363650000000004,0.01,0.046363650000000006
0100018,67,36,0.537313,0.722222,4.219507705176107,8.18535277187245,0.5373134328358209,48.388874,0.01380375679965662,4,262,medium,Low,Base Mobilization Universe,High support but significant turnout shortfall,"{""registered"": 67, ""turnout_pct"": 0.537, ""support_pct"": 0.722}",REGION_02,3,Region 02,45,68982,0.3312,44,0.7333333333333333,0.14666666666666667,11.0,44,0.1,0.4,0.3972221,0.022,0.41922210000000004
0100019,3,1,0.333333,1.0,1.3862943611198906,1.7320508075688772,0.3333333333333333,3.0,0.00085580148856057,4,341,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 3, ""turnout_pct"": 0.333, ""support_pct"": 1.0}",REGION_09,9,Region 09,7,49,0.002,2,0.03333333333333333,0.006666666666666666,0.5,2,0.0,0.0,0.005000000000000001,0.001,0.006000000000000001
0100021,26,21,0.807692,0.666667,3.295836866004329,5.0990195135927845,0.8076923076923077,17.333342000000002,0.004944633295109816,4,304,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 26, ""turnout_pct"": 0.808, ""support_pct"": 0.667}",REGION_10,1,Region 10,99,101232,0.2116,17,0.2833333333333333,0.056666666666666664,4.25,17,0.1,0.1,0.02833334750000001,0.0085,0.03683334750000001
0100022,3,3,1.0,0.333333,1.3862943611198906,1.7320508075688772,1.0,0.999999,0.00028526687758636046,4,357,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 3, ""turnout_pct"": 1.0, ""support_pct"": 0.333}",REGION_08,8,Region 08,11,106,0.0011,2,0.03333333333333333,0.006666666666666666,0.5,2,0.0,0.0,0.0016666650000000003,0.001,0.0026666650000000004
0100030,6,4,0.666667,0.5,1.9459101490553132,2.449489742783178,0.6666666666666666,3.0,0.00085580148856057,4,341,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 6, ""turnout_pct"": 0.667, ""support_pct"": 0.5}",REGION_07,4,Region 07,81,64265,0.1452,4,0.06666666666666667,0.013333333333333332,1.0,4,0.0,0.0,0.005000000000000001,0.002,0.007000000000000001
0100031,5,3,0.6,1.0,1.791759469228055,2.23606797749979,0.6,5.0,0.0014263358142676168,4,333,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 5, ""turnout_pct"": 0.6, ""support_pct"": 1.0}",REGION_01,7,Region 01,13,652,0.0135,3,0.05,0.01,0.75,3,0.0,0.0,0.0075000000000000015,0.0015,0.009000000000000001
