canonical_precinct_id,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score
0100134,REGION_01,10,Region 01,4,6,0.0
0100250,REGION_08,8,Region 08,3,38,0.0026
0100267,REGION_04,6,Region 04,8,1040,0.0195
0200029,REGION_05,5,Region 05,7,3308,0.0841
0200048,REGION_06,3,Region 06,6,13652,0.5351
0200117,REGION_02,9,Region 02,1,10,0.0034
0200121,REGION_01,10,Region 01,4,6,0.0
0200122,REGION_07,4,Region 07,5,5941,0.2769
0200130,REGION_08,8,Region 08,3,38,0.0026
0200136,REGION_01,10,Region 01,4,6,0.0
0200142,REGION_07,4,Region 07,5,5941,0.2769
0200147,REGION_04,6,Region 04,8,1040,0.0195
0250047,REGION_10,2,Region 10,7,13736,0.4103
0250052,REGION_09,1,Region 09,11,13902,0.2421
0710049,REGION_09,1,Region 09,11,13902,0.2421
0710050,REGION_05,5,Region 05,7,3308,0.0841
0710051,REGION_08,8,Region 08,3,38,0.0026
0710052,REGION_03,7,Region 03,3,280,0.0129
0710053,REGION_01,10,Region 01,4,6,0.0
0720011,REGION_09,1,Region 09,11,13902,0.2421
0720012,REGION_09,1,Region 09,11,13902,0.2421
0720013,REGION_09,1,Region 09,11,13902,0.2421
0720014,REGION_05,5,Region 05,7,3308,0.0841
0720015,REGION_04,6,Region 04,8,1040,0.0195
0720016,REGION_04,6,Region 04,8,1040,0.0195
0720017,REGION_10,2,Region 10,7,13736,0.4103
0720018,REGION_09,1,Region 09,11,13902,0.2421
0720019,REGION_05,5,Region 05,7,3308,0.0841
0720020,REGION_05,5,Region 05,7,3308,0.0841
0720021,REGION_03,7,Region 03,3,280,0.0129
0720022,REGION_09,1,Region 09,11,13902,0.2421
0720023,REGION_05,5,Region 05,7,3308,0.0841
0720024,REGION_09,1,Region 09,11,13902,0.2421
0720025,REGION_04,6,Region 04,8,1040,0.0195
0720026,REGION_04,6,Region 04,8,1040,0.0195
0720027,REGION_05,5,Region 05,7,3308,0.0841
0720028,REGION_04,6,Region 04,8,1040,0.0195
0720029,REGION_04,6,Region 04,8,1040,0.0195
0720030,REGION_03,7,Region 03,3,280,0.0129
0725001,REGION_07,4,Region 07,5,5941,0.2769
0725002,REGION_06,3,Region 06,6,13652,0.5351
0725003,REGION_10,2,Region 10,7,13736,0.4103
0725004,REGION_10,2,Region 10,7,13736,0.4103
0725005,REGION_09,1,Region 09,11,13902,0.2421
0725006,REGION_10,2,Region 10,7,13736,0.4103
0725007,REGION_10,2,Region 10,7,13736,0.4103
0725008,REGION_09,1,Region 09,11,13902,0.2421
0725009,REGION_09,1,Region 09,11,13902,0.2421
0725010,REGION_10,2,Region 10,7,13736,0.4103
0725011,REGION_06,3,Region 06,6,13652,0.5351
0725012,REGION_06,3,Region 06,6,13652,0.5351
0725013,REGION_06,3,Region 06,6,13652,0.5351
0725014,REGION_06,3,Region 06,6,13652,0.5351
0725015,REGION_07,4,Region 07,5,5941,0.2769
0725016,REGION_07,4,Region 07,5,5941,0.2769
