canonical_precinct_id,registered,ballots_cast,turnout_pct,support_pct,log_registered,sqrt_registered,ballots_cast_per_registered,support_density,target_score,target_tier,walk_priority_rank,confidence_level,walk_priority,universe_name,universe_reason,key_metrics_snapshot
Precinct 0510000,0,500,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.6}"
Precinct 0510001,0,500,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.6}"
Precinct 0510002,0,500,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.6}"
Precinct 0510003,0,500,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.6}"
Precinct 0510004,0,500,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.6}"
Precinct 0510005,0,500,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.6}"
Precinct 0510006,0,500,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.6}"
Precinct 0510007,0,500,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.6}"
Precinct 0510008,0,500,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.6}"
Precinct 0510009,0,500,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.6}"
