region_id,region_name,registered_total,doors_to_knock,expected_contacts,volunteers_needed,weeks_required
REGION_01,Region 01,10000,666,166.5,2.2,5.6
REGION_01,Region 01,10000,666,166.5,2.2,5.6
REGION_01,Region 01,10000,666,166.5,2.2,5.6
REGION_01,Region 01,10000,666,166.5,2.2,5.6
REGION_01,Region 01,10000,666,166.5,2.2,5.6
REGION_01,Region 01,10000,666,166.5,2.2,5.6
REGION_01,Region 01,10000,666,166.5,2.2,5.6
REGION_01,Region 01,10000,666,166.5,2.2,5.6
REGION_01,Region 01,10000,666,166.5,2.2,5.6
REGION_01,Region 01,10000,666,166.5,2.2,5.6
