canonical_precinct_id,registered,ballots_cast,turnout_pct,support_pct,target_score,walk_priority_rank
Precinct 0510000,1000,500,0.5,0.6,0.3,1
Precinct 0510001,1000,500,0.5,0.6,0.3,1
Precinct 0510002,1000,500,0.5,0.6,0.3,1
Precinct 0510003,1000,500,0.5,0.6,0.3,1
Precinct 0510004,1000,500,0.5,0.6,0.3,1
Precinct 0510005,1000,500,0.5,0.6,0.3,1
Precinct 0510006,1000,500,0.5,0.6,0.3,1
Precinct 0510007,1000,500,0.5,0.6,0.3,1
Precinct 0510008,1000,500,0.5,0.6,0.3,1
Precinct 0510009,1000,500,0.5,0.6,0.3,1
