region_id,region_name,registered_total,doors_to_knock,expected_contacts,volunteers_needed,weeks_required
REGION_03,Region 03,0,0,0.0,0.0,0.0
REGION_10,Region 10,0,0,0.0,0.0,0.0
REGION_04,Region 04,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_02,Region 02,0,0,0.0,0.0,0.0
REGION_02,Region 02,0,0,0.0,0.0,0.0
REGION_03,Region 03,0,0,0.0,0.0,0.0
REGION_06,Region 06,0,0,0.0,0.0,0.0
REGION_05,Region 05,0,0,0.0,0.0,0.0
REGION_03,Region 03,0,0,0.0,0.0,0.0
REGION_06,Region 06,0,0,0.0,0.0,0.0
REGION_04,Region 04,0,0,0.0,0.0,0.0
REGION_10,Region 10,0,0,0.0,0.0,0.0
REGION_08,Region 08,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_04,Region 04,0,0,0.0,0.0,0.0
REGION_07,Region 07,0,0,0.0,0.0,0.0
REGION_04,Region 04,0,0,0.0,0.0,0.0
REGION_03,Region 03,0,0,0.0,0.0,0.0
REGION_05,Region 05,0,0,0.0,0.0,0.0
REGION_08,Region 08,0,0,0.0,0.0,0.0
REGION_08,Region 08,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_04,Region 04,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_09,Region 09,0,0,0.0,0.0,0.0
REGION_05,Region 05,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_04,Region 04,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_08,Region 08,0,0,0.0,0.0,0.0
REGION_01,Region 01,0,0,0.0,0.0,0.0
REGION_04,Region 04,0,0,0.0,0.0,0.0
REGION_04,Region 04,0,0,0.0,0.0,0.0
REGION_04,Region 04,0,0,0.0,0.0,0.0
REGION_04,Region 04,0,0,0.0,0.0,0.0
REGION_04,Region 04,0,0,0.0,0.0,0.0
REGION_04,Region 04,0,0,0.0,0.0,0.0
REGION_06,Region 06,0,0,0.0,0.0,0.0
REGION_06,Region 06,0,0,0.0,0.0,0.0
REGION_10,Region 10,0,0,0.0,0.0,0.0
REGION_07,Region 07,0,0,0.0,0.0,0.0
REGION_09,Region 09,0,0,0.0,0.0,0.0
REGION_10,Region 10,0,0,0.0,0.0,0.0
REGION_10,Region 10,0,0,0.0,0.0,0.0
REGION_09,Region 09,0,0,0.0,0.0,0.0
REGION_08,Region 08,0,0,0.0,0.0,0.0
REGION_10,Region 10,0,0,0.0,0.0,0.0
REGION_06,Region 06,0,0,0.0,0.0,0.0
REGION_07,Region 07,0,0,0.0,0.0,0.0
REGION_06,Region 06,0,0,0.0,0.0,0.0
REGION_06,Region 06,0,0,0.0,0.0,0.0
REGION_06,Region 06,0,0,0.0,0.0,0.0
REGION_07,Region 07,0,0,0.0,0.0,0.0
