turf_id,precinct_ids,sum_registered,turf_purpose
TURF_001,0725011,4260,persuasion
TURF_002,0725012,3486,persuasion
TURF_003,0725014,2707,persuasion
TURF_004,0725013,2851,persuasion
TURF_005,0725010,2737,mixed
TURF_006,0725006,2719,mixed
TURF_007,0725001,2311,mixed
TURF_008,0725005,2683,mixed
TURF_009,0725008,2616,mixed
TURF_010,0725016,2038,mixed
TURF_011,0725004,2109,mixed
TURF_012,0250047,2152,mixed
TURF_013,0720012,2315,mixed
TURF_014,0725007,2020,mixed
TURF_015,0725003,1681,mixed
TURF_016,0725015,1500,mixed
TURF_017,0720011,1728,turnout
TURF_018,0720023,1762,turnout
TURF_019,0250052,1722,turnout
TURF_020,0725009,1436,turnout
TURF_021,0720014,748,turnout
TURF_022,0725002,344,turnout
TURF_023,0720018,390,turnout
TURF_024,0710049,418,turnout
TURF_025,0720017,318,turnout
TURF_026,0720013,318,turnout
TURF_027,0720027,344,turnout
TURF_028,0720016,301,turnout
TURF_029,"0720022,0720020",432,turnout
TURF_030,"0720025,0720026",466,turnout
