precinct,state,county,swing_score,support_volatility,turnout_volatility,recent_direction,trend_magnitude,contest_sensitivity,confidence,swing_class,elections_counted,avg_support,avg_turnout,provenance
0400101,CA,Sonoma,0.8373,0.113172,0.056205,pro_support,0.1663,0.0,0.4,high_swing,3,0.5923,0.4923,SYNTHETIC
0400116,CA,Sonoma,0.8162,0.072566,0.074284,pro_support,0.1297,0.0,0.4,high_swing,3,0.5889,0.6678,SYNTHETIC
0400114,CA,Sonoma,0.7484,0.084248,0.029528,against_support,0.1685,0.0,0.4,high_swing,3,0.377,0.6302,SYNTHETIC
0400110,CA,Sonoma,0.6992,0.094196,0.039205,against_support,0.1011,0.0,0.4,high_swing,3,0.3648,0.5666,SYNTHETIC
0400120,CA,Sonoma,0.6965,0.117647,0.060401,against_support,0.0579,0.0,0.4,high_swing,3,0.4406,0.3994,SYNTHETIC
0400115,CA,Sonoma,0.6807,0.10188,0.031471,pro_support,0.1055,0.0,0.4,high_swing,3,0.4528,0.5028,SYNTHETIC
0400108,CA,Sonoma,0.6459,0.059019,0.050091,pro_support,0.085,0.0,0.4,moderate_swing,3,0.3704,0.4939,SYNTHETIC
0400106,CA,Sonoma,0.6416,0.070048,0.033037,pro_support,0.0789,0.0,0.4,moderate_swing,3,0.3763,0.3471,SYNTHETIC
0400119,CA,Sonoma,0.6164,0.068683,0.033565,pro_support,0.0672,0.0,0.4,moderate_swing,3,0.698,0.5793,SYNTHETIC
0400109,CA,Sonoma,0.5886,0.066105,0.029952,against_support,0.0666,0.0,0.4,moderate_swing,3,0.5531,0.483,SYNTHETIC
0400113,CA,Sonoma,0.588,0.075747,0.031809,pro_support,0.0492,0.0,0.4,moderate_swing,3,0.5553,0.609,SYNTHETIC
0400117,CA,Sonoma,0.5868,0.124311,0.004448,against_support,0.1032,0.0,0.4,moderate_swing,3,0.724,0.3897,SYNTHETIC
0400107,CA,Sonoma,0.5733,0.10034,0.030029,pro_support,0.0439,0.0,0.4,moderate_swing,3,0.5624,0.5323,SYNTHETIC
0400103,CA,Sonoma,0.569,0.066329,0.018533,pro_support,0.0769,0.0,0.4,moderate_swing,3,0.6507,0.4717,SYNTHETIC
0400104,CA,Sonoma,0.5471,0.045774,0.056467,against_support,0.0584,0.0,0.4,moderate_swing,3,0.6104,0.6799,SYNTHETIC
0400112,CA,Sonoma,0.4678,0.041738,0.04215,pro_support,0.0533,0.0,0.4,moderate_swing,3,0.5072,0.3919,SYNTHETIC
0400118,CA,Sonoma,0.4553,0.034339,0.044834,against_support,0.0658,0.0,0.4,moderate_swing,3,0.4666,0.4295,SYNTHETIC
0400105,CA,Sonoma,0.4316,0.05191,0.009178,pro_support,0.0626,0.0,0.4,moderate_swing,3,0.4571,0.658,SYNTHETIC
0400111,CA,Sonoma,0.3533,0.026176,0.038017,against_support,0.0462,0.0,0.4,low_swing,3,0.6235,0.6254,SYNTHETIC
0400102,CA,Sonoma,0.2918,0.016736,0.058836,neutral,0.0,0.0,0.4,low_swing,3,0.5038,0.6629,SYNTHETIC
