precinct,state,county,swing_score,support_volatility,turnout_volatility,recent_direction,trend_magnitude,contest_sensitivity,confidence,swing_class,elections_counted,avg_support,avg_turnout,provenance
0400120,CA,Sonoma,0.8034,0.098686,0.051025,pro_support,0.14,0.0,0.4,high_swing,4,0.4519,0.3929,SYNTHETIC
0400114,CA,Sonoma,0.8014,0.074605,0.049072,pro_support,0.1427,0.0,0.4,high_swing,4,0.3915,0.6516,SYNTHETIC
0400118,CA,Sonoma,0.7757,0.099051,0.037711,pro_support,0.2286,0.0,0.34,high_swing,4,0.5141,0.434,SYNTHETIC
0400113,CA,Sonoma,0.6585,0.084864,0.052403,pro_support,0.0503,0.0,0.4,high_swing,4,0.5843,0.5863,SYNTHETIC
0400107,CA,Sonoma,0.6474,0.081988,0.031809,against_support,0.0848,0.0,0.4,moderate_swing,4,0.5608,0.5222,SYNTHETIC
0400116,CA,Sonoma,0.605,0.066581,0.064698,pro_support,0.0147,0.0,0.34,moderate_swing,4,0.6041,0.679,SYNTHETIC
0400101,CA,Sonoma,0.581,0.093405,0.048495,against_support,0.0116,0.0,0.34,moderate_swing,4,0.5991,0.4845,SYNTHETIC
0400110,CA,Sonoma,0.5619,0.083945,0.033976,pro_support,0.0292,0.0,0.4,moderate_swing,4,0.348,0.5609,SYNTHETIC
0400119,CA,Sonoma,0.5585,0.057021,0.060964,against_support,0.0196,0.0,0.4,moderate_swing,4,0.6928,0.5521,SYNTHETIC
0400104,CA,Sonoma,0.5474,0.049755,0.050514,against_support,0.0568,0.0,0.4,moderate_swing,4,0.594,0.6902,SYNTHETIC
0400105,CA,Sonoma,0.5272,0.071667,0.007963,pro_support,0.0604,0.0,0.4,moderate_swing,4,0.486,0.6567,SYNTHETIC
0400106,CA,Sonoma,0.5197,0.058212,0.048329,pro_support,0.0156,0.0,0.4,moderate_swing,4,0.3817,0.3672,SYNTHETIC
0400115,CA,Sonoma,0.5148,0.083698,0.026377,pro_support,0.0161,0.0,0.4,moderate_swing,4,0.4575,0.5058,SYNTHETIC
0400117,CA,Sonoma,0.5009,0.102048,0.030255,neutral,0.0,0.0,0.34,moderate_swing,4,0.7293,0.4048,SYNTHETIC
0400108,CA,Sonoma,0.4944,0.049273,0.04105,against_support,0.0456,0.0,0.4,moderate_swing,4,0.3755,0.4956,SYNTHETIC
0400109,CA,Sonoma,0.4893,0.054129,0.024952,pro_support,0.0581,0.0,0.4,moderate_swing,4,0.5511,0.4854,SYNTHETIC
0400102,CA,Sonoma,0.3822,0.026845,0.048251,pro_support,0.0408,0.0,0.4,low_swing,4,0.5154,0.6651,SYNTHETIC
0400103,CA,Sonoma,0.3738,0.054171,0.01928,neutral,0.0,0.0,0.4,low_swing,4,0.6501,0.4777,SYNTHETIC
0400112,CA,Sonoma,0.3502,0.035652,0.037553,pro_support,0.0128,0.0,0.4,low_swing,4,0.5124,0.3994,SYNTHETIC
0400111,CA,Sonoma,0.282,0.026555,0.039076,neutral,0.0,0.0,0.4,low_swing,4,0.6156,0.6136,SYNTHETIC
