turf_id,precinct_ids,precinct_count,sum_registered,avg_target_score
TURF_001,0725011,1,4260,1.0
TURF_002,0741004,1,3995,0.878
TURF_003,0757002,1,3447,0.849
TURF_004,0711011,1,4055,0.823
TURF_005,0731004,1,3599,0.795
TURF_006,0731007,1,3189,0.786
TURF_007,0731010,1,3548,0.782
TURF_008,0723001,1,3459,0.759
TURF_009,0725012,1,3486,0.752
TURF_010,0711005,1,3483,0.749
TURF_011,0731003,1,3158,0.719
TURF_012,0736004,1,3381,0.705
TURF_013,0741011,1,3699,0.701
TURF_014,0751005,1,3444,0.687
TURF_015,0742001,1,3554,0.67
TURF_016,0736006,1,3356,0.662
TURF_017,0725013,1,2851,0.648
TURF_018,0725014,1,2707,0.646
TURF_019,0731005,1,2977,0.631
TURF_020,0751004,1,2994,0.631
TURF_021,0731006,1,2677,0.627
TURF_022,0711013,1,2821,0.626
TURF_023,0751009,1,2951,0.61
TURF_024,0711010,1,2759,0.603
TURF_025,0751003,1,2703,0.601
TURF_026,0731001,1,2523,0.594
TURF_027,0749003,1,3241,0.592
TURF_028,0711014,1,2686,0.59
TURF_029,0751006,1,2863,0.589
TURF_030,0711003,1,2581,0.585
TURF_031,0736003,1,2723,0.581
TURF_032,0736002,1,2690,0.578
TURF_033,0740014,1,2951,0.575
TURF_034,0757001,1,2361,0.57
TURF_035,0749007,1,3078,0.56
TURF_036,0749006,1,2962,0.559
TURF_037,0736005,1,2926,0.555
TURF_038,0710019,1,2457,0.543
TURF_039,0726004,1,2870,0.542
TURF_040,0725006,1,2719,0.542
TURF_041,0731011,1,2631,0.541
TURF_042,0725010,1,2737,0.541
TURF_043,0725008,1,2616,0.535
TURF_044,0711009,1,2555,0.534
TURF_045,0725005,1,2683,0.527
TURF_046,0725001,1,2311,0.517
TURF_047,0726001,1,2627,0.511
TURF_048,0731002,1,2142,0.504
TURF_049,0711012,1,2238,0.501
TURF_050,0741010,1,2273,0.5
TURF_051,0749002,1,2462,0.496
TURF_052,0710020,1,2286,0.464
TURF_053,0731008,1,1942,0.46
TURF_054,0751007,1,2222,0.46
TURF_055,0711001,1,2085,0.453
TURF_056,0725016,1,2038,0.445
TURF_057,0725004,1,2109,0.438
TURF_058,0250047,1,2152,0.435
TURF_059,0736001,1,2077,0.432
TURF_060,0751008,1,2079,0.432
TURF_061,0751002,1,1916,0.431
TURF_062,0751001,1,1986,0.429
TURF_063,0711007,1,1998,0.425
TURF_064,0711006,1,1972,0.418
TURF_065,0725007,1,2020,0.417
TURF_066,0744005,1,1849,0.416
TURF_067,0720012,1,2315,0.416
TURF_068,0710021,1,1766,0.41
TURF_069,0750018,1,1747,0.397
TURF_070,0750031,1,1732,0.384
TURF_071,0751010,1,1792,0.382
TURF_072,0740024,1,1977,0.378
TURF_073,0741003,1,1830,0.377
TURF_074,0742002,1,2052,0.37
TURF_075,0736008,1,1919,0.37
TURF_076,0718005,1,1574,0.364
TURF_077,0710040,1,1767,0.36
TURF_078,0744002,1,1598,0.358
TURF_079,0744004,1,1626,0.355
TURF_080,0730001,1,1742,0.353
TURF_081,0750008,1,1593,0.352
TURF_082,0725003,1,1681,0.349
TURF_083,0710023,1,1515,0.347
TURF_084,0718006,1,1587,0.345
TURF_085,0725015,1,1500,0.341
TURF_086,0750004,1,2010,0.337
TURF_087,0750050,1,1457,0.336
TURF_088,0718004,1,1621,0.336
TURF_089,0718001,1,1545,0.335
TURF_090,0720023,1,1762,0.333
TURF_091,0711017,1,1593,0.332
TURF_092,0750033,1,1435,0.332
TURF_093,0250052,1,1722,0.328
TURF_094,0744003,1,1400,0.324
TURF_095,0710014,1,1531,0.318
TURF_096,0720011,1,1728,0.316
TURF_097,0731009,1,1278,0.305
