canonical_precinct_id,registered,ballots_cast,turnout_pct,support_pct,log_registered,sqrt_registered,ballots_cast_per_registered,support_density,target_score,target_tier,walk_priority_rank,confidence_level,walk_priority,universe_name,universe_reason,key_metrics_snapshot,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score,doors_estimated,shifts_needed,volunteers_needed_weekend,expected_contacts,doors_to_knock,volunteers_needed,weeks_required,net_gain_turnout,net_gain_persuasion,expected_net_gain
0100021,26,21,0.807692,0.666667,3.295836866004329,5.0990195135927845,0.8076923076923077,17.333342000000002,0.004944633295109816,4,304,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 26, ""turnout_pct"": 0.808, ""support_pct"": 0.667}",REGION_10,1,Region 10,99,101232,0.2116,17,0.2833333333333333,0.056666666666666664,4.25,17,0.1,0.1,0.02833334750000001,0.0085,0.03683334750000001
0100236,37,29,0.783784,0.482759,3.6375861597263857,6.082762530298219,0.7837837837837838,17.862083,0.00509546574006415,4,303,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 37, ""turnout_pct"": 0.784, ""support_pct"": 0.483}",REGION_07,4,Region 07,81,64265,0.1452,24,0.4,0.08,6.0,24,0.1,0.2,0.028965540000000005,0.012,0.04096554000000001
0100250,16,13,0.8125,0.846154,2.833213344056216,4.0,0.8125,13.538464,0.0038620792146745624,4,309,medium,Low,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 16, ""turnout_pct"": 0.812, ""support_pct"": 0.846}",REGION_04,5,Region 04,16,3377,0.0483,10,0.16666666666666666,0.03333333333333333,2.5,10,0.0,0.1,0.10576925,0.005,0.11076925
0200029,23,17,0.73913,0.588235,3.1780538303479458,4.795831523312719,0.7391304347826086,13.529404999999999,0.0038594949794462726,4,310,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 23, ""turnout_pct"": 0.739, ""support_pct"": 0.588}",REGION_07,4,Region 07,81,64265,0.1452,15,0.25,0.05,3.75,15,0.0,0.1,0.0220588125,0.0075,0.0295588125
0400005,28,18,0.642857,0.666667,3.367295829986474,5.291502622129181,0.6428571428571429,18.666676,0.0053249897024259555,4,302,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 28, ""turnout_pct"": 0.643, ""support_pct"": 0.667}",REGION_07,4,Region 07,81,64265,0.1452,18,0.3,0.06,4.5,18,0.1,0.2,0.03000001500000001,0.009000000000000001,0.03900001500000001
0500202,27,14,0.518519,0.5,3.332204510175204,5.196152422706632,0.5185185185185185,13.5,0.0038511066985225653,4,311,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 27, ""turnout_pct"": 0.519, ""support_pct"": 0.5}",REGION_06,6,Region 06,19,1459,0.0101,18,0.3,0.06,4.5,18,0.1,0.2,0.022500000000000006,0.009000000000000001,0.03150000000000001
0500286,31,25,0.806452,0.44,3.4657359027997265,5.5677643628300215,0.8064516129032258,13.64,0.0038910441013220586,4,308,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 31, ""turnout_pct"": 0.806, ""support_pct"": 0.44}",REGION_08,8,Region 08,11,106,0.0011,20,0.3333333333333333,0.06666666666666667,5.0,20,0.1,0.2,0.022000000000000006,0.01,0.03200000000000001
0500307,25,18,0.72,0.5,3.258096538021482,5.0,0.72,12.5,0.0035658395356690416,4,312,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 25, ""turnout_pct"": 0.72, ""support_pct"": 0.5}",REGION_07,4,Region 07,81,64265,0.1452,16,0.26666666666666666,0.05333333333333333,4.0,16,0.1,0.1,0.020000000000000004,0.008,0.028000000000000004
0710006,28,22,0.785714,0.681818,3.367295829986474,5.291502622129181,0.7857142857142857,19.090904000000002,0.005446008020388981,4,301,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 28, ""turnout_pct"": 0.786, ""support_pct"": 0.682}",REGION_10,1,Region 10,99,101232,0.2116,18,0.3,0.06,4.5,18,0.1,0.2,0.03068181000000001,0.009000000000000001,0.03968181000000001
0710013,24,15,0.625,0.666667,3.2188758248682006,4.898979485566356,0.625,16.000008,0.004564276887793676,4,306,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 24, ""turnout_pct"": 0.625, ""support_pct"": 0.667}",REGION_07,4,Region 07,81,64265,0.1452,16,0.26666666666666666,0.05333333333333333,4.0,16,0.1,0.1,0.026666680000000005,0.008,0.034666680000000005
0740033,27,11,0.407407,0.636364,3.332204510175204,5.196152422706632,0.4074074074074074,17.181828,0.004901411326197228,4,305,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 27, ""turnout_pct"": 0.407, ""support_pct"": 0.636}",REGION_02,3,Region 02,45,68982,0.3312,18,0.3,0.06,4.5,18,0.1,0.2,0.02863638000000001,0.009000000000000001,0.03763638000000001
0750002,18,9,0.5,0.888889,2.9444389791664403,4.242640687119285,0.5,16.000002000000002,0.004564275176190699,4,307,medium,Low,Base Mobilization Universe,High support but significant turnout shortfall,"{""registered"": 18, ""turnout_pct"": 0.5, ""support_pct"": 0.889}",REGION_02,3,Region 02,45,68982,0.3312,12,0.2,0.04,3.0,12,0.0,0.1,0.13333335000000002,0.006,0.13933335000000002
