canonical_precinct_id,registered,ballots_cast,turnout_pct,support_pct,log_registered,sqrt_registered,ballots_cast_per_registered,support_density,target_score,target_tier,walk_priority_rank,confidence_level,walk_priority,universe_name,universe_reason,key_metrics_snapshot,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score,doors_estimated,shifts_needed,volunteers_needed_weekend,expected_contacts,doors_to_knock,volunteers_needed,weeks_required,net_gain_turnout,net_gain_persuasion,expected_net_gain
0100007,30,22,0.733333,0.727273,3.4339872044851463,5.477225575051661,0.7333333333333333,21.818189999999998,0.0062240131598991135,4,292,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 30, ""turnout_pct"": 0.733, ""support_pct"": 0.727}",REGION_10,1,Region 10,99,101232,0.2116,20,0.3333333333333333,0.06666666666666667,5.0,20,0.1,0.2,0.036363650000000004,0.01,0.046363650000000006
0300025,34,26,0.764706,0.615385,3.5553480614894135,5.830951894845301,0.7647058823529411,20.92309,0.005968670522428925,4,295,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 34, ""turnout_pct"": 0.765, ""support_pct"": 0.615}",REGION_07,4,Region 07,81,64265,0.1452,22,0.36666666666666664,0.07333333333333333,5.5,22,0.1,0.2,0.033846175,0.011,0.044846175
0400010,40,31,0.775,0.516129,3.713572066704308,6.324555320336759,0.775,20.645159999999997,0.005889386219857046,4,296,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 40, ""turnout_pct"": 0.775, ""support_pct"": 0.516}",REGION_07,4,Region 07,81,64265,0.1452,26,0.43333333333333335,0.08666666666666667,6.5,26,0.1,0.2,0.03354838500000001,0.013000000000000001,0.04654838500000001
0710011,30,22,0.733333,0.636364,3.4339872044851463,5.477225575051661,0.7333333333333333,19.09092,0.005446012584663587,4,300,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 30, ""turnout_pct"": 0.733, ""support_pct"": 0.636}",REGION_07,4,Region 07,81,64265,0.1452,20,0.3333333333333333,0.06666666666666667,5.0,20,0.1,0.2,0.031818200000000005,0.01,0.04181820000000001
0710027,20,15,0.75,1.0,3.044522437723423,4.47213595499958,0.75,20.0,0.005705343257070467,4,297,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 20, ""turnout_pct"": 0.75, ""support_pct"": 1.0}",REGION_01,7,Region 01,13,652,0.0135,13,0.21666666666666667,0.043333333333333335,3.25,13,0.0,0.1,0.03250000000000001,0.006500000000000001,0.03900000000000001
0710037,28,12,0.428571,0.75,3.367295829986474,5.291502622129181,0.42857142857142855,21.0,0.005990610419923989,4,294,medium,Low,Base Mobilization Universe,High support but significant turnout shortfall,"{""registered"": 28, ""turnout_pct"": 0.429, ""support_pct"": 0.75}",REGION_02,3,Region 02,45,68982,0.3312,18,0.3,0.06,4.5,18,0.1,0.2,0.16875,0.009000000000000001,0.17775000000000002
0740001,36,24,0.666667,0.541667,3.6109179126442243,6.0,0.6666666666666666,19.500012,0.005562713098849659,4,299,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 36, ""turnout_pct"": 0.667, ""support_pct"": 0.542}",REGION_07,4,Region 07,81,64265,0.1452,24,0.4,0.08,6.0,24,0.1,0.2,0.032500020000000004,0.012,0.04450002
0740026,22,18,0.818182,0.888889,3.1354942159291497,4.69041575982343,0.8181818181818182,19.555558,0.005578558548677522,4,298,medium,Low,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 22, ""turnout_pct"": 0.818, ""support_pct"": 0.889}",REGION_04,5,Region 04,16,3377,0.0483,14,0.23333333333333334,0.04666666666666667,3.5,14,0.0,0.1,0.15555557500000003,0.007,0.16255557500000004
0750001,29,21,0.724138,0.761905,3.4011973816621555,5.385164807134504,0.7241379310344828,22.095245000000002,0.006303047853703498,4,291,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 29, ""turnout_pct"": 0.724, ""support_pct"": 0.762}",REGION_10,1,Region 10,99,101232,0.2116,19,0.31666666666666665,0.06333333333333332,4.75,19,0.1,0.2,0.03619048750000001,0.0095,0.04569048750000001
0750042,35,23,0.657143,0.608696,3.58351893845611,5.916079783099616,0.6571428571428571,21.30436,0.006077434333610089,4,293,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 35, ""turnout_pct"": 0.657, ""support_pct"": 0.609}",REGION_07,4,Region 07,81,64265,0.1452,23,0.38333333333333336,0.07666666666666667,5.75,23,0.1,0.2,0.03500002000000001,0.0115,0.04650002
