canonical_precinct_id,registered,ballots_cast,turnout_pct,support_pct,log_registered,sqrt_registered,ballots_cast_per_registered,support_density,target_score,target_tier,walk_priority_rank,confidence_level,walk_priority,universe_name,universe_reason,key_metrics_snapshot,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score,doors_estimated,shifts_needed,volunteers_needed_weekend,expected_contacts,doors_to_knock,volunteers_needed,weeks_required,net_gain_turnout,net_gain_persuasion,expected_net_gain
0100134,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}",REGION_03,3,Region 03,4,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0100250,0,13,0.0,0.615385,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.615}",REGION_10,10,Region 10,6,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0100267,0,5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.4}",REGION_04,4,Region 04,12,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0200029,0,15,0.0,0.533333,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.533}",REGION_01,1,Region 01,8,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0200048,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 1.0}",REGION_02,2,Region 02,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0200117,0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 1.0}",REGION_02,2,Region 02,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0200121,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}",REGION_03,3,Region 03,4,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0200122,0,8,0.0,0.75,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.75}",REGION_06,6,Region 06,8,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0200130,0,7,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.571}",REGION_05,5,Region 05,3,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0200136,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}",REGION_03,3,Region 03,4,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0200142,0,48,0.0,0.791667,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.792}",REGION_06,6,Region 06,8,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0200147,0,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.25}",REGION_04,4,Region 04,12,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0250047,0,1307,0.0,0.616679,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.617}",REGION_10,10,Region 10,6,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0250052,0,1151,0.0,0.549088,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.549}",REGION_08,8,Region 08,5,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
0710049,0,289,0.0,0.512111,0.0,0.0,0.0,0.0,0.0,4,1,medium,Low,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.512}",REGION_01,1,Region 01,8,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
