turf_id,precinct_ids,precinct_count,sum_registered,avg_target_score
TURF_001,0725011,1,4260,1.0
TURF_002,0725012,1,3486,0.777
TURF_003,0725014,1,2707,0.689
TURF_004,0725013,1,2851,0.662
TURF_005,0725010,1,2737,0.577
TURF_006,0725006,1,2719,0.56
TURF_007,0725001,1,2311,0.542
TURF_008,0725005,1,2683,0.533
TURF_009,0725008,1,2616,0.513
TURF_010,0725016,1,2038,0.464
TURF_011,0725004,1,2109,0.454
TURF_012,0250047,1,2152,0.448
TURF_013,0720012,1,2315,0.436
TURF_014,0725007,1,2020,0.412
TURF_015,0725003,1,1681,0.357
TURF_016,0725015,1,1500,0.354
TURF_017,0720011,1,1728,0.334
TURF_018,0720023,1,1762,0.327
TURF_019,0250052,1,1722,0.319
TURF_020,0725009,1,1436,0.273
TURF_021,0720014,1,748,0.133
TURF_022,0725002,1,344,0.082
TURF_023,0720018,1,390,0.075
TURF_024,0710049,1,418,0.072
TURF_025,0720017,1,318,0.064
TURF_026,0720013,1,318,0.059
TURF_027,0720027,1,344,0.054
TURF_028,0720016,1,301,0.05
TURF_029,"0720022,0720020",2,432,0.036
TURF_030,"0720025,0720026",2,466,0.033
TURF_031,"0720019,0710052",2,365,0.029
TURF_032,"0720015,0200142,0720024",3,328,0.02
TURF_033,"0720021,0720029,0710050,0200029,0200117,0100250,0200122,0710051,0200130,0720028,0100267,0200048,0720030,0200147",14,302,0.004
TURF_034,"0200136,0710053,0100134,0200121",4,6,0.0
