canonical_precinct_id,registered,ballots_cast,turnout_pct,support_pct,log_registered,sqrt_registered,ballots_cast_per_registered,support_density,target_score,target_tier,walk_priority_rank,confidence_level,walk_priority,universe_name,universe_reason,key_metrics_snapshot,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score,doors_estimated,shifts_needed,volunteers_needed_weekend,expected_contacts,doors_to_knock,volunteers_needed,weeks_required,net_gain_turnout,net_gain_persuasion,expected_net_gain
0100250,16,13,0.8125,0.615385,2.833213344056216,4.0,0.8125,9.84616,0.0033223635032712533,4,43,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 16, ""turnout_pct"": 0.812, ""support_pct"": 0.615}",REGION_08,8,Region 08,3,38,0.0026,10,0.16666666666666666,0.03333333333333333,2.5,10,0.0,0.1,0.015384625000000002,0.005,0.020384625000000003
0100267,11,5,0.454545,0.4,2.4849066497880004,3.3166247903554,0.45454545454545453,4.4,0.0014846802625991772,4,48,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 11, ""turnout_pct"": 0.455, ""support_pct"": 0.4}",REGION_04,6,Region 04,8,1040,0.0195,7,0.11666666666666667,0.023333333333333334,1.75,7,0.0,0.1,0.007000000000000001,0.0035,0.0105
0200029,23,15,0.652174,0.533333,3.1780538303479458,4.795831523312719,0.6521739130434783,12.266658999999999,0.004139106023939672,4,41,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 23, ""turnout_pct"": 0.652, ""support_pct"": 0.533}",REGION_05,5,Region 05,7,3308,0.0841,15,0.25,0.05,3.75,15,0.0,0.1,0.0199999875,0.0075,0.0274999875
0200048,4,3,0.75,1.0,1.6094379124341003,2.0,0.75,4.0,0.0013497093296356156,4,49,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 4, ""turnout_pct"": 0.75, ""support_pct"": 1.0}",REGION_06,3,Region 06,6,13652,0.5351,2,0.03333333333333333,0.006666666666666666,0.5,2,0.0,0.0,0.005000000000000001,0.001,0.006000000000000001
0200117,10,4,0.4,1.0,2.3978952727983707,3.1622776601683795,0.4,10.0,0.003374273324089039,4,42,medium,Low,Base Mobilization Universe,High support but significant turnout shortfall,"{""registered"": 10, ""turnout_pct"": 0.4, ""support_pct"": 1.0}",REGION_02,9,Region 02,1,10,0.0034,6,0.1,0.02,1.5,6,0.0,0.0,0.07500000000000001,0.003,0.07800000000000001
0200122,13,8,0.615385,0.75,2.6390573296152584,3.605551275463989,0.6153846153846154,9.75,0.003289916490986813,4,44,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 13, ""turnout_pct"": 0.615, ""support_pct"": 0.75}",REGION_07,4,Region 07,5,5941,0.2769,8,0.13333333333333333,0.026666666666666665,2.0,8,0.0,0.1,0.015000000000000003,0.004,0.019000000000000003
0200130,9,7,0.777778,0.571429,2.302585092994046,3.0,0.7777777777777778,5.142861,0.0017353418681797879,4,46,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 9, ""turnout_pct"": 0.778, ""support_pct"": 0.571}",REGION_08,8,Region 08,3,38,0.0026,6,0.1,0.02,1.5,6,0.0,0.0,0.008571435,0.003,0.011571435000000001
0200147,9,4,0.444444,0.25,2.302585092994046,3.0,0.4444444444444444,2.25,0.0007592114979200337,4,51,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 9, ""turnout_pct"": 0.444, ""support_pct"": 0.25}",REGION_04,6,Region 04,8,1040,0.0195,6,0.1,0.02,1.5,6,0.0,0.0,0.0037500000000000007,0.003,0.006750000000000001
0710050,30,20,0.666667,0.45,3.4339872044851463,5.477225575051661,0.6666666666666666,13.5,0.004555268987520203,4,40,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 30, ""turnout_pct"": 0.667, ""support_pct"": 0.45}",REGION_05,5,Region 05,7,3308,0.0841,20,0.3333333333333333,0.06666666666666667,5.0,20,0.1,0.2,0.022500000000000006,0.01,0.03250000000000001
0710051,13,11,0.846154,0.636364,2.6390573296152584,3.605551275463989,0.8461538461538461,8.272732000000001,0.002791445890493777,4,45,medium,Low,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 13, ""turnout_pct"": 0.846, ""support_pct"": 0.636}",REGION_08,8,Region 08,3,38,0.0026,8,0.13333333333333333,0.026666666666666665,2.0,8,0.0,0.1,0.012727280000000004,0.004,0.016727280000000004
