canonical_precinct_id,universe_name,universe_reason,key_metrics_snapshot
Precinct 0510000,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1000, ""turnout_pct"": 0.5, ""support_pct"": 0.6}"
Precinct 0510001,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1000, ""turnout_pct"": 0.5, ""support_pct"": 0.6}"
Precinct 0510002,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1000, ""turnout_pct"": 0.5, ""support_pct"": 0.6}"
Precinct 0510003,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1000, ""turnout_pct"": 0.5, ""support_pct"": 0.6}"
Precinct 0510004,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1000, ""turnout_pct"": 0.5, ""support_pct"": 0.6}"
Precinct 0510005,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1000, ""turnout_pct"": 0.5, ""support_pct"": 0.6}"
Precinct 0510006,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1000, ""turnout_pct"": 0.5, ""support_pct"": 0.6}"
Precinct 0510007,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1000, ""turnout_pct"": 0.5, ""support_pct"": 0.6}"
Precinct 0510008,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1000, ""turnout_pct"": 0.5, ""support_pct"": 0.6}"
Precinct 0510009,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1000, ""turnout_pct"": 0.5, ""support_pct"": 0.6}"
