canonical_precinct_id,universe_name,universe_reason,key_metrics_snapshot
0100002,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 13, ""turnout_pct"": 0.769, ""support_pct"": 0.7}"
0100003,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 44, ""turnout_pct"": 0.727, ""support_pct"": 0.594}"
0100006,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 3, ""turnout_pct"": 0.333, ""support_pct"": 1.0}"
0100007,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 30, ""turnout_pct"": 0.733, ""support_pct"": 0.727}"
0100018,Base Mobilization Universe,High support but significant turnout shortfall,"{""registered"": 67, ""turnout_pct"": 0.537, ""support_pct"": 0.722}"
0100019,Turnout Opportunity,Low turnout areas with enough baseline support to be worth investment,"{""registered"": 3, ""turnout_pct"": 0.333, ""support_pct"": 1.0}"
0100021,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 26, ""turnout_pct"": 0.808, ""support_pct"": 0.667}"
0100022,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 3, ""turnout_pct"": 1.0, ""support_pct"": 0.333}"
0100030,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 6, ""turnout_pct"": 0.667, ""support_pct"": 0.5}"
0100031,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 5, ""turnout_pct"": 0.6, ""support_pct"": 1.0}"
0100032,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 10, ""turnout_pct"": 0.8, ""support_pct"": 1.0}"
0100067,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 4, ""turnout_pct"": 1.0, ""support_pct"": 0.75}"
0100068,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 1, ""turnout_pct"": 1.0, ""support_pct"": 1.0}"
0100073,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 8, ""turnout_pct"": 0.5, ""support_pct"": 0.5}"
0100121,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 48, ""turnout_pct"": 0.792, ""support_pct"": 0.763}"
0100134,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0100164,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 11, ""turnout_pct"": 0.727, ""support_pct"": 0.375}"
0100172,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 11, ""turnout_pct"": 1.0, ""support_pct"": 0.455}"
0100173,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 22, ""turnout_pct"": 0.773, ""support_pct"": 0.412}"
0100175,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0100177,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 16, ""turnout_pct"": 0.812, ""support_pct"": 0.462}"
0100206,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 64, ""turnout_pct"": 0.672, ""support_pct"": 0.698}"
