canonical_precinct_id,universe_name,universe_reason,key_metrics_snapshot
0100134,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0100250,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 16, ""turnout_pct"": 0.812, ""support_pct"": 0.615}"
0100267,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 11, ""turnout_pct"": 0.455, ""support_pct"": 0.4}"
0200029,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 23, ""turnout_pct"": 0.652, ""support_pct"": 0.533}"
0200048,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 4, ""turnout_pct"": 0.75, ""support_pct"": 1.0}"
0200117,Base Mobilization Universe,High support but significant turnout shortfall,"{""registered"": 10, ""turnout_pct"": 0.4, ""support_pct"": 1.0}"
0200121,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 4, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0200122,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 13, ""turnout_pct"": 0.615, ""support_pct"": 0.75}"
0200130,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 9, ""turnout_pct"": 0.778, ""support_pct"": 0.571}"
0200136,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0200142,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 79, ""turnout_pct"": 0.608, ""support_pct"": 0.792}"
0200147,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 9, ""turnout_pct"": 0.444, ""support_pct"": 0.25}"
0250047,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2152, ""turnout_pct"": 0.607, ""support_pct"": 0.617}"
0250052,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1722, ""turnout_pct"": 0.668, ""support_pct"": 0.549}"
0710049,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 418, ""turnout_pct"": 0.691, ""support_pct"": 0.512}"
0710050,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 30, ""turnout_pct"": 0.667, ""support_pct"": 0.45}"
0710051,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 13, ""turnout_pct"": 0.846, ""support_pct"": 0.636}"
0710052,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 191, ""turnout_pct"": 0.681, ""support_pct"": 0.423}"
0710053,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0720011,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1728, ""turnout_pct"": 0.665, ""support_pct"": 0.573}"
0720012,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 2315, ""turnout_pct"": 0.673, ""support_pct"": 0.558}"
0720013,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 318, ""turnout_pct"": 0.73, ""support_pct"": 0.552}"
0720014,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 748, ""turnout_pct"": 0.639, ""support_pct"": 0.525}"
0720015,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 178, ""turnout_pct"": 0.528, ""support_pct"": 0.436}"
0720016,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 301, ""turnout_pct"": 0.535, ""support_pct"": 0.491}"
0720017,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 318, ""turnout_pct"": 0.582, ""support_pct"": 0.595}"
0720018,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 390, ""turnout_pct"": 0.677, ""support_pct"": 0.568}"
0720019,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 174, ""turnout_pct"": 0.615, ""support_pct"": 0.523}"
0720020,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 227, ""turnout_pct"": 0.674, ""support_pct"": 0.471}"
0720021,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 81, ""turnout_pct"": 0.654, ""support_pct"": 0.377}"
0720022,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 205, ""turnout_pct"": 0.693, ""support_pct"": 0.528}"
0720023,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 1762, ""turnout_pct"": 0.635, ""support_pct"": 0.55}"
0720024,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 71, ""turnout_pct"": 0.718, ""support_pct"": 0.529}"
0720025,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 256, ""turnout_pct"": 0.594, ""support_pct"": 0.395}"
0720026,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 210, ""turnout_pct"": 0.486, ""support_pct"": 0.461}"
0720027,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 344, ""turnout_pct"": 0.605, ""support_pct"": 0.462}"
0720028,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 12, ""turnout_pct"": 0.417, ""support_pct"": 0.4}"
